gender,loyalty_points,loyalty_tier,registered_on_weekend,loyalty_points_per_year
0.0,4782.0,4.0,0.0,2288.04
0.0,739.0,3.0,1.0,185.21
1.0,2711.0,4.0,1.0,538.97
0.0,878.0,3.0,0.0,229.24
1.0,1591.0,4.0,0.0,415.4
1.0,4713.0,4.0,0.0,805.64
0.0,1542.0,4.0,0.0,7342.86
1.0,1210.0,4.0,0.0,243.95
1.0,3916.0,4.0,1.0,721.18
0.0,4021.0,4.0,0.0,3688.99
1.0,1086.0,4.0,0.0,201.11
1.0,255.0,2.0,0.0,108.05
0.0,3274.0,4.0,0.0,36377.78
1.0,2592.0,4.0,0.0,259200.0
1.0,2313.0,4.0,0.0,505.02
1.0,2953.0,4.0,0.0,4218.57
1.0,4318.0,4.0,0.0,907.14
0.0,3580.0,4.0,1.0,-179000.0
0.0,4080.0,4.0,0.0,1000.0
0.0,2434.0,4.0,1.0,2932.53
1.0,2861.0,4.0,0.0,2270.63
0.0,4127.0,4.0,0.0,1063.66
0.0,1720.0,4.0,0.0,346.77
0.0,1459.0,4.0,1.0,1049.64
0.0,146.0,2.0,0.0,25.39
1.0,1739.0,4.0,0.0,315.04
1.0,3561.0,4.0,0.0,657.01
0.0,4068.0,4.0,0.0,2786.3
1.0,292.0,2.0,0.0,75.84
1.0,1555.0,4.0,0.0,883.52
0.0,1445.0,4.0,0.0,355.91
1.0,250.0,2.0,0.0,109.65
1.0,4397.0,4.0,0.0,923.74
1.0,4993.0,4.0,0.0,1406.48
1.0,2926.0,4.0,0.0,528.16
1.0,4706.0,4.0,0.0,1241.69
0.0,2672.0,4.0,0.0,3106.98
1.0,4320.0,4.0,0.0,1642.59
0.0,1866.0,4.0,0.0,1173.58
0.0,615.0,3.0,1.0,3416.67
1.0,530.0,3.0,0.0,271.79
1.0,3671.0,4.0,1.0,6798.15
1.0,1390.0,4.0,0.0,390.45
0.0,2674.0,4.0,0.0,4312.9
0.0,4257.0,4.0,0.0,5067.86
1.0,4091.0,4.0,1.0,1902.79
1.0,1096.0,4.0,0.0,220.52
0.0,1569.0,4.0,1.0,572.63
1.0,884.0,3.0,0.0,178.95
1.0,4410.0,4.0,1.0,25941.18
0.0,4450.0,4.0,0.0,2445.05
0.0,3523.0,4.0,1.0,1467.92
0.0,2118.0,4.0,0.0,541.69
1.0,1261.0,4.0,1.0,279.6
0.0,139.0,2.0,0.0,129.91
0.0,802.0,3.0,0.0,147.97
1.0,3486.0,4.0,0.0,1197.94
0.0,2707.0,4.0,1.0,1053.31
1.0,4024.0,4.0,1.0,2235.56
1.0,1646.0,4.0,0.0,884.95
1.0,4307.0,4.0,1.0,5008.14
0.0,100.0,1.0,0.0,23.36
0.0,1652.0,4.0,0.0,1131.51
1.0,3878.0,4.0,0.0,1360.7
0.0,4345.0,4.0,0.0,1128.57
1.0,2856.0,4.0,0.0,700.0
1.0,3333.0,4.0,0.0,1035.09
1.0,1292.0,4.0,1.0,256.86
0.0,928.0,3.0,0.0,201.3
0.0,2378.0,4.0,0.0,861.59
0.0,4850.0,4.0,1.0,1426.47
1.0,3479.0,4.0,0.0,586.68
1.0,2149.0,4.0,0.0,1090.86
1.0,4902.0,4.0,1.0,5106.25
0.0,1552.0,4.0,0.0,1804.65
0.0,3924.0,4.0,1.0,3503.57
0.0,2668.0,4.0,0.0,846.98
0.0,1186.0,4.0,0.0,13177.78
1.0,4253.0,4.0,0.0,884.2
0.0,265.0,2.0,0.0,301.14
1.0,1839.0,4.0,0.0,578.3
1.0,2008.0,4.0,0.0,1606.4
0.0,71.0,1.0,0.0,14.61
1.0,669.0,3.0,0.0,219.34
0.0,3040.0,4.0,0.0,793.73
0.0,518.0,3.0,0.0,380.88
1.0,4490.0,4.0,0.0,449000.0
0.0,981.0,3.0,1.0,476.21
0.0,1284.0,4.0,0.0,310.14
0.0,56.0,1.0,0.0,21.62
1.0,2520.0,4.0,1.0,430.77
0.0,1287.0,4.0,0.0,214.5
0.0,376.0,2.0,0.0,97.41
1.0,2419.0,4.0,0.0,1511.88
0.0,4898.0,4.0,1.0,6898.59
1.0,3731.0,4.0,1.0,747.7
1.0,4255.0,4.0,0.0,1649.22
0.0,1279.0,4.0,1.0,1437.08
0.0,1566.0,4.0,0.0,8242.11
0.0,3881.0,4.0,1.0,1724.89
0.0,2383.0,4.0,0.0,2019.49
0.0,4431.0,4.0,0.0,891.55
0.0,3241.0,4.0,1.0,2770.09
0.0,4641.0,4.0,1.0,11900.0
1.0,1315.0,4.0,0.0,-5717.39
0.0,3023.0,4.0,0.0,9446.88
1.0,3469.0,4.0,0.0,2964.96
1.0,139.0,2.0,0.0,37.67
0.0,1826.0,4.0,1.0,335.05
0.0,2935.0,4.0,0.0,-26681.82
1.0,2280.0,4.0,0.0,420.66
0.0,2159.0,4.0,0.0,547.97
1.0,1165.0,4.0,0.0,231.61
1.0,256.0,2.0,0.0,-1163.64
1.0,3631.0,4.0,0.0,764.42
0.0,2997.0,4.0,0.0,788.68
1.0,1594.0,4.0,0.0,277.22
1.0,2532.0,4.0,0.0,639.39
0.0,2716.0,4.0,0.0,2121.88
1.0,4342.0,4.0,0.0,11735.14
0.0,3280.0,4.0,1.0,720.88
0.0,2178.0,4.0,0.0,450.0
0.0,4117.0,4.0,0.0,708.61
0.0,4855.0,4.0,0.0,15171.88
1.0,1057.0,4.0,0.0,553.4
0.0,2018.0,4.0,0.0,-11211.11
0.0,3850.0,4.0,0.0,-22647.06
0.0,1957.0,4.0,0.0,442.76
1.0,202.0,2.0,0.0,39.38
1.0,1375.0,4.0,0.0,489.32
0.0,3633.0,4.0,0.0,968.8
1.0,821.0,3.0,0.0,173.21
1.0,757.0,3.0,1.0,422.91
1.0,4158.0,4.0,0.0,1916.13
0.0,3741.0,4.0,0.0,666.84
0.0,2629.0,4.0,1.0,5258.0
0.0,3654.0,4.0,0.0,843.88
0.0,3359.0,4.0,0.0,577.15
1.0,298.0,2.0,1.0,71.29
1.0,2089.0,4.0,1.0,483.56
0.0,895.0,3.0,0.0,310.76
1.0,2242.0,4.0,0.0,-12455.56
1.0,3614.0,4.0,0.0,1192.74
1.0,121.0,2.0,0.0,20.72
0.0,1605.0,4.0,0.0,-20062.5
1.0,1478.0,4.0,0.0,1086.76
1.0,444.0,2.0,0.0,-7400.0
0.0,3272.0,4.0,1.0,1006.77
1.0,2578.0,4.0,0.0,2387.04
0.0,769.0,3.0,0.0,207.84
0.0,2200.0,4.0,0.0,1964.29
1.0,766.0,3.0,0.0,130.72
0.0,688.0,3.0,0.0,390.91
1.0,4666.0,4.0,0.0,4486.54
0.0,4058.0,4.0,1.0,1852.97
0.0,3829.0,4.0,0.0,909.5
1.0,2641.0,4.0,0.0,585.59
1.0,1207.0,4.0,0.0,13411.11
1.0,4672.0,4.0,1.0,901.93
1.0,3177.0,4.0,0.0,923.55
1.0,4739.0,4.0,0.0,3459.12
1.0,2474.0,4.0,1.0,1161.5
0.0,1818.0,4.0,0.0,1637.84
1.0,3670.0,4.0,1.0,612.69
0.0,3254.0,4.0,0.0,-27116.67
1.0,2265.0,4.0,0.0,552.44
1.0,578.0,3.0,0.0,136.64
1.0,452.0,2.0,0.0,886.27
0.0,3289.0,4.0,0.0,569.03
0.0,2051.0,4.0,0.0,-17091.67
1.0,2442.0,4.0,0.0,980.72
1.0,2317.0,4.0,0.0,915.81
1.0,1589.0,4.0,1.0,845.21
1.0,4701.0,4.0,0.0,7706.56
0.0,4616.0,4.0,0.0,805.58
1.0,1679.0,4.0,0.0,466.39
0.0,580.0,3.0,0.0,500.0
1.0,4196.0,4.0,1.0,3467.77
1.0,4238.0,4.0,1.0,5805.48
1.0,3541.0,4.0,1.0,8047.73
1.0,4795.0,4.0,0.0,2057.94
0.0,3595.0,4.0,1.0,2531.69
0.0,866.0,3.0,1.0,500.58
0.0,2367.0,4.0,0.0,710.81
1.0,759.0,3.0,0.0,320.25
1.0,357.0,2.0,0.0,62.3
0.0,1507.0,4.0,0.0,260.73
0.0,1829.0,4.0,0.0,410.09
0.0,122.0,2.0,0.0,137.08
0.0,3258.0,4.0,0.0,824.81
1.0,3008.0,4.0,0.0,-30080.0
1.0,3397.0,4.0,0.0,719.7
1.0,2846.0,4.0,0.0,881.11
0.0,1657.0,4.0,1.0,615.99
0.0,2271.0,4.0,1.0,492.62
0.0,3420.0,4.0,0.0,1407.41
1.0,29.0,1.0,1.0,5.81
1.0,1271.0,4.0,1.0,602.37
0.0,1545.0,4.0,1.0,279.39
1.0,291.0,2.0,0.0,74.05
1.0,3672.0,4.0,0.0,700.76
0.0,1698.0,4.0,0.0,310.99
0.0,2366.0,4.0,0.0,394.33
1.0,3180.0,4.0,0.0,1528.85
1.0,2253.0,4.0,1.0,28162.5
0.0,4610.0,4.0,0.0,-24263.16
1.0,2252.0,4.0,0.0,466.25
1.0,174.0,2.0,0.0,62.82
0.0,3935.0,4.0,0.0,1484.91
1.0,2710.0,4.0,1.0,854.89
0.0,205.0,2.0,0.0,51.25
1.0,2441.0,4.0,0.0,874.91
1.0,3046.0,4.0,0.0,535.33
1.0,4341.0,4.0,1.0,766.96
0.0,4086.0,4.0,0.0,1141.34
0.0,201.0,2.0,0.0,34.9
0.0,1140.0,4.0,0.0,194.21
1.0,1576.0,4.0,0.0,949.4
1.0,1600.0,4.0,0.0,565.37
1.0,4024.0,4.0,0.0,2353.22
1.0,1377.0,4.0,0.0,288.08
1.0,2619.0,4.0,0.0,664.72
1.0,934.0,3.0,1.0,864.81
0.0,3699.0,4.0,1.0,10568.57
1.0,4051.0,4.0,0.0,1097.83
0.0,1074.0,4.0,0.0,188.42
1.0,3879.0,4.0,1.0,798.15
1.0,1187.0,4.0,0.0,410.73
0.0,2842.0,4.0,1.0,755.85
1.0,357.0,2.0,0.0,415.12
0.0,4330.0,4.0,0.0,1142.48
1.0,3436.0,4.0,0.0,1620.75
0.0,3093.0,4.0,0.0,-13447.83
0.0,3076.0,4.0,0.0,1515.27
0.0,1134.0,4.0,1.0,626.52
1.0,721.0,3.0,0.0,127.61
1.0,1552.0,4.0,0.0,540.77
1.0,3290.0,4.0,0.0,571.18
0.0,2006.0,4.0,0.0,655.56
1.0,1152.0,4.0,1.0,331.99
1.0,1771.0,4.0,0.0,2494.37
1.0,1872.0,4.0,0.0,531.82
0.0,3314.0,4.0,1.0,7890.48
1.0,1078.0,4.0,0.0,292.14
1.0,1603.0,4.0,0.0,308.86
0.0,1297.0,4.0,0.0,310.29
0.0,3023.0,4.0,0.0,581.35
0.0,664.0,3.0,0.0,572.41
0.0,2110.0,4.0,1.0,407.34
1.0,3488.0,4.0,1.0,3832.97
1.0,3378.0,4.0,0.0,623.25
1.0,1959.0,4.0,0.0,7534.62
0.0,1856.0,4.0,0.0,550.74
0.0,770.0,3.0,0.0,182.03
0.0,2626.0,4.0,0.0,5968.18
1.0,2863.0,4.0,0.0,587.89
1.0,2289.0,4.0,1.0,496.53
0.0,523.0,3.0,0.0,1245.24
0.0,3722.0,4.0,1.0,623.45
1.0,4128.0,4.0,0.0,4128.0
0.0,774.0,3.0,0.0,326.58
0.0,1546.0,4.0,0.0,420.11
1.0,634.0,3.0,1.0,532.77
1.0,2459.0,4.0,0.0,2138.26
0.0,3718.0,4.0,0.0,665.12
0.0,3960.0,4.0,1.0,2429.45
0.0,1613.0,4.0,0.0,286.5
1.0,4524.0,4.0,0.0,1000.88
1.0,602.0,3.0,1.0,104.51
1.0,2019.0,4.0,0.0,387.52
0.0,3462.0,4.0,0.0,606.3
1.0,556.0,3.0,0.0,288.08
0.0,751.0,3.0,0.0,170.68
1.0,2070.0,4.0,0.0,575.0
1.0,2989.0,4.0,0.0,774.35
0.0,388.0,2.0,0.0,400.0
0.0,3603.0,4.0,1.0,5543.08
0.0,3803.0,4.0,1.0,1372.92
0.0,10.0,1.0,1.0,2.7
0.0,1483.0,4.0,0.0,250.08
0.0,2767.0,4.0,1.0,2767.0
1.0,2154.0,4.0,0.0,488.44
1.0,829.0,3.0,0.0,668.55
0.0,2491.0,4.0,0.0,35585.71
1.0,3388.0,4.0,0.0,8470.0
1.0,1742.0,4.0,0.0,590.51
1.0,3236.0,4.0,0.0,539.33
1.0,1665.0,4.0,1.0,302.18
0.0,3219.0,4.0,0.0,1381.55
1.0,1667.0,4.0,0.0,287.91
1.0,540.0,3.0,0.0,241.07
0.0,4082.0,4.0,1.0,931.96
1.0,1914.0,4.0,0.0,415.18
0.0,518.0,3.0,0.0,242.06
0.0,4860.0,4.0,0.0,830.77
1.0,2187.0,4.0,0.0,401.28
0.0,845.0,3.0,0.0,518.4
0.0,2936.0,4.0,0.0,2406.56
0.0,3235.0,4.0,1.0,597.97
0.0,682.0,3.0,0.0,1420.83
1.0,2645.0,4.0,1.0,5086.54
1.0,2345.0,4.0,1.0,391.49
1.0,4523.0,4.0,1.0,879.96
0.0,2923.0,4.0,0.0,1760.84
0.0,2671.0,4.0,0.0,3070.11
1.0,894.0,3.0,0.0,-14900.0
1.0,4185.0,4.0,0.0,1367.65
1.0,4255.0,4.0,0.0,4780.9
0.0,901.0,3.0,0.0,435.27
0.0,2786.0,4.0,1.0,780.39
0.0,787.0,3.0,0.0,1008.97
1.0,4639.0,4.0,0.0,4639.0
1.0,4741.0,4.0,1.0,1370.23
0.0,328.0,2.0,0.0,618.87
0.0,2518.0,4.0,0.0,503.6
1.0,1123.0,4.0,1.0,354.26
1.0,1951.0,4.0,1.0,462.32
0.0,2223.0,4.0,0.0,558.54
1.0,3330.0,4.0,0.0,-66600.0
1.0,186.0,2.0,0.0,51.24
1.0,959.0,3.0,0.0,162.82
1.0,646.0,3.0,0.0,115.36
0.0,1050.0,4.0,0.0,1050.0
1.0,1236.0,4.0,0.0,671.74
0.0,2683.0,4.0,0.0,815.5
1.0,1077.0,4.0,0.0,1252.33
0.0,4038.0,4.0,0.0,1763.32
1.0,2601.0,4.0,0.0,526.52
1.0,4238.0,4.0,1.0,985.58
1.0,3909.0,4.0,0.0,-15636.0
0.0,4644.0,4.0,1.0,3600.0
1.0,4922.0,4.0,1.0,893.28
1.0,4283.0,4.0,0.0,1964.68
1.0,1116.0,4.0,0.0,425.95
0.0,2795.0,4.0,0.0,934.78
0.0,4519.0,4.0,0.0,818.66
0.0,390.0,2.0,0.0,71.43
0.0,1833.0,4.0,1.0,2106.9
1.0,2453.0,4.0,0.0,484.78
0.0,3846.0,4.0,1.0,907.08
1.0,2476.0,4.0,1.0,586.73
0.0,3118.0,4.0,0.0,546.06
0.0,1432.0,4.0,0.0,395.58
1.0,1322.0,4.0,0.0,328.86
0.0,683.0,3.0,0.0,135.25
1.0,4663.0,4.0,0.0,790.34
0.0,1363.0,4.0,0.0,1434.74
1.0,4886.0,4.0,0.0,1166.11
1.0,2327.0,4.0,0.0,411.86
0.0,4913.0,4.0,0.0,1147.9
0.0,2594.0,4.0,0.0,2819.57
0.0,1570.0,4.0,0.0,-157000.0
0.0,2138.0,4.0,1.0,1187.78
1.0,726.0,3.0,0.0,994.52
0.0,297.0,2.0,0.0,53.8
1.0,4253.0,4.0,1.0,2625.31
0.0,3990.0,4.0,0.0,1589.64
1.0,812.0,3.0,0.0,237.43
0.0,3625.0,4.0,0.0,1347.58
0.0,3432.0,4.0,0.0,1179.38
0.0,4888.0,4.0,0.0,1303.47
1.0,3012.0,4.0,1.0,7530.0
0.0,3023.0,4.0,0.0,535.04
0.0,1251.0,4.0,0.0,249.2
0.0,199.0,2.0,0.0,39.8
1.0,1910.0,4.0,0.0,375.25
1.0,949.0,3.0,0.0,220.19
0.0,892.0,3.0,0.0,568.15
0.0,4883.0,4.0,0.0,1516.46
0.0,3751.0,4.0,0.0,767.08
1.0,1268.0,4.0,1.0,63400.0
1.0,3113.0,4.0,1.0,648.54
0.0,3473.0,4.0,0.0,655.28
1.0,467.0,2.0,0.0,131.18
1.0,433.0,2.0,0.0,-1804.17
0.0,3560.0,4.0,0.0,1231.83
1.0,4060.0,4.0,1.0,896.25
1.0,2855.0,4.0,1.0,834.8
0.0,4869.0,4.0,0.0,1315.95
1.0,4986.0,4.0,0.0,2456.16
0.0,2731.0,4.0,0.0,579.83
1.0,4031.0,4.0,0.0,928.8
1.0,999.0,3.0,1.0,221.51
1.0,1471.0,4.0,1.0,742.93
0.0,2704.0,4.0,0.0,1408.33
1.0,4799.0,4.0,0.0,917.59
0.0,4235.0,4.0,0.0,1043.1
0.0,1389.0,4.0,0.0,913.82
0.0,1661.0,4.0,0.0,1085.62
1.0,1061.0,4.0,0.0,344.48
0.0,4481.0,4.0,1.0,44810.0
1.0,1230.0,4.0,0.0,448.91
0.0,4972.0,4.0,0.0,965.44
0.0,494.0,2.0,0.0,118.47
1.0,2842.0,4.0,0.0,510.23
1.0,4382.0,4.0,0.0,860.9
0.0,1517.0,4.0,0.0,747.29
0.0,723.0,3.0,0.0,179.85
1.0,2259.0,4.0,0.0,1964.35
1.0,2849.0,4.0,0.0,907.32
0.0,2215.0,4.0,1.0,2605.88
1.0,2446.0,4.0,0.0,1557.96
1.0,2233.0,4.0,1.0,708.89
1.0,4270.0,4.0,0.0,1330.22
1.0,1156.0,4.0,1.0,1243.01
0.0,3104.0,4.0,0.0,5542.86
1.0,2108.0,4.0,0.0,5697.3
1.0,4505.0,4.0,1.0,1439.3
0.0,1755.0,4.0,1.0,382.35
0.0,509.0,3.0,1.0,301.18
0.0,757.0,3.0,0.0,167.85
1.0,2023.0,4.0,0.0,949.77
0.0,1708.0,4.0,0.0,325.95
0.0,3762.0,4.0,0.0,2850.0
1.0,2989.0,4.0,0.0,861.38
1.0,4436.0,4.0,1.0,974.95
0.0,2827.0,4.0,0.0,602.77
0.0,3620.0,4.0,0.0,763.71
1.0,4903.0,4.0,0.0,2501.53
0.0,183.0,2.0,1.0,201.1
0.0,563.0,3.0,1.0,130.32
1.0,2300.0,4.0,1.0,487.29
1.0,2934.0,4.0,0.0,810.5
1.0,2788.0,4.0,1.0,691.81
0.0,4181.0,4.0,1.0,956.75
1.0,4182.0,4.0,1.0,1282.82
0.0,1324.0,4.0,1.0,379.37
0.0,3271.0,4.0,0.0,1116.38
0.0,3297.0,4.0,0.0,2100.0
0.0,2948.0,4.0,0.0,2233.33
1.0,4703.0,4.0,0.0,1015.77
1.0,1661.0,4.0,0.0,1145.52
0.0,4017.0,4.0,0.0,1419.43
0.0,923.0,3.0,1.0,219.76
1.0,194.0,2.0,0.0,155.2
1.0,1295.0,4.0,1.0,840.91
1.0,3861.0,4.0,0.0,5289.04
0.0,589.0,3.0,1.0,1178.0
1.0,4603.0,4.0,0.0,785.49
0.0,2014.0,4.0,1.0,373.65
0.0,3387.0,4.0,0.0,1055.14
0.0,631.0,3.0,1.0,184.5
0.0,3076.0,4.0,0.0,7690.0
0.0,2173.0,4.0,0.0,1070.44
1.0,1929.0,4.0,0.0,656.12
0.0,718.0,3.0,0.0,156.09
1.0,1883.0,4.0,0.0,631.88
1.0,3822.0,4.0,0.0,3860.61
1.0,976.0,3.0,0.0,621.66
0.0,3045.0,4.0,0.0,1136.19
1.0,427.0,2.0,0.0,260.37
1.0,203.0,2.0,1.0,59.18
1.0,1409.0,4.0,1.0,308.32
1.0,3330.0,4.0,1.0,1070.74
0.0,1425.0,4.0,0.0,396.94
1.0,874.0,3.0,0.0,178.73
0.0,3214.0,4.0,0.0,8927.78
0.0,3700.0,4.0,0.0,1737.09
0.0,2541.0,4.0,0.0,789.13
1.0,2716.0,4.0,0.0,705.45
1.0,3496.0,4.0,0.0,3207.34
