shipment_id,order_id,warehouse_id,shipped_date,delivery_date,shipping_cost,tracking_number
86,86,19,2025-10-09,2025-10-19,443.88,TRK86
87,87,3,2022-06-05,2022-06-13,281.16,TRK87
88,88,15,2022-10-05,2022-10-15,141.72,TRK88
89,89,2,2023-02-17,2023-02-22,42.18,TRK89
90,90,11,2024-08-08,2024-08-18,453.78,TRK90
91,91,18,2026-04-07,2026-04-10,326.98,TRK91
92,92,11,2024-08-12,2024-08-15,268.1,TRK92
93,93,11,2023-09-22,2023-09-25,267.52,TRK93
94,94,5,2025-02-24,2025-02-25,181.35,TRK94
95,95,8,2026-02-23,2026-03-05,137.48,TRK95
96,96,7,2024-01-04,2024-01-08,360.0,TRK96
97,97,20,2025-10-13,2025-10-20,470.31,TRK97
98,98,18,2022-06-14,2022-06-24,80.76,TRK98
99,99,5,2023-11-14,2023-11-15,141.35,TRK99
100,100,19,2022-04-13,2022-04-19,338.31,TRK100
101,101,6,2024-12-15,2024-12-25,20.75,TRK101
102,102,13,2022-05-30,2022-06-02,165.29,TRK102
103,103,20,2024-07-23,2024-08-02,291.05,TRK103
104,104,5,2023-07-08,2023-07-14,184.75,TRK104
105,105,9,2024-10-07,2024-10-17,343.14,TRK105
106,106,10,2023-11-03,2023-11-07,296.46,TRK106
107,107,13,2023-06-07,2023-06-12,362.26,TRK107
108,108,8,2025-04-06,2025-04-14,441.89,TRK108
109,109,19,2025-09-26,2025-10-03,285.59,TRK109
110,110,18,2023-01-25,2023-02-02,366.15,TRK110
111,111,6,2023-12-20,2023-12-27,364.43,TRK111
112,112,1,2022-05-25,2022-05-31,312.46,TRK112
113,113,5,2023-05-09,2023-05-14,448.72,TRK113
114,114,1,2026-04-21,2026-04-26,428.97,TRK114
115,115,13,2025-07-31,2025-08-01,453.78,TRK115
116,116,5,2022-04-24,2022-04-27,122.67,TRK116
117,117,6,2024-03-31,2024-04-10,340.24,TRK117
118,118,6,2025-10-18,2025-10-22,25.93,TRK118
119,119,19,2025-11-04,2025-11-13,481.48,TRK119
120,120,19,2025-05-18,2025-05-27,362.18,TRK120
121,121,5,2024-03-23,2024-03-31,446.96,TRK121
122,122,10,2022-09-12,2022-09-13,59.09,TRK122
123,123,1,2024-04-20,2024-04-30,424.27,TRK123
124,124,6,2023-08-01,2023-08-02,320.26,TRK124
125,125,19,2022-06-05,2022-06-12,363.56,TRK125
126,126,11,2023-10-25,2023-10-31,68.74,TRK126
127,127,1,2025-09-21,2025-09-28,400.98,TRK127
128,128,12,2024-06-07,2024-06-13,67.03,TRK128
129,129,15,2022-12-17,2022-12-23,461.63,TRK129
130,130,5,2026-03-20,2026-03-24,39.47,TRK130
131,131,17,2024-05-19,2024-05-26,286.81,TRK131
132,132,8,2024-02-11,2024-02-19,32.0,TRK132
133,133,10,2025-09-08,2025-09-13,33.13,TRK133
134,134,14,2025-11-15,2025-11-22,83.87,TRK134
135,135,5,2022-05-19,2022-05-23,404.27,TRK135
136,136,2,2022-07-13,2022-07-19,140.65,TRK136
137,137,3,2026-02-10,2026-02-18,159.87,TRK137
138,138,16,2022-07-14,2022-07-15,217.46,TRK138
139,139,17,2022-12-14,2022-12-16,398.7,TRK139
140,140,10,2024-09-07,2024-09-09,133.84,TRK140
141,141,20,2022-10-12,2022-10-20,442.7,TRK141
142,142,1,2025-12-30,2026-01-06,323.85,TRK142
143,143,19,2022-01-19,2022-01-25,32.04,TRK143
144,144,18,2024-06-04,2024-06-06,234.4,TRK144
145,145,13,2025-07-04,2025-07-14,351.98,TRK145
146,146,12,2023-11-25,2023-12-04,390.99,TRK146
147,147,1,2024-07-15,2024-07-19,63.14,TRK147
148,148,3,2023-09-03,2023-09-09,306.81,TRK148
149,149,8,2025-04-05,2025-04-09,365.8,TRK149
150,150,11,2025-10-31,2025-11-10,441.84,TRK150
151,151,19,2026-05-10,2026-05-18,488.86,TRK151
152,152,5,2024-02-29,2024-03-10,162.24,TRK152
153,153,9,2025-01-27,2025-02-02,268.9,TRK153
154,154,1,2022-04-23,2022-05-01,407.98,TRK154
155,155,17,2023-12-10,2023-12-14,154.6,TRK155
156,156,19,2023-10-20,2023-10-26,492.78,TRK156
157,157,17,2023-07-31,2023-08-08,318.85,TRK157
158,158,12,2024-04-12,2024-04-21,180.46,TRK158
159,159,4,2024-04-06,2024-04-08,253.16,TRK159
160,160,18,2023-10-20,2023-10-23,498.65,TRK160
161,161,5,2023-12-24,2023-12-26,408.25,TRK161
162,162,15,2025-08-17,2025-08-18,198.87,TRK162
163,163,2,2026-02-18,2026-02-19,39.35,TRK163
164,164,15,2026-02-24,2026-03-01,97.43,TRK164
165,165,7,2026-05-08,2026-05-09,462.36,TRK165
166,166,3,2022-06-28,2022-07-04,420.89,TRK166
167,167,8,2025-01-10,2025-01-18,60.02,TRK167
168,168,14,2024-09-13,2024-09-22,283.93,TRK168
169,169,10,2025-04-20,2025-04-30,185.63,TRK169
170,170,4,2024-09-23,2024-09-30,35.24,TRK170
171,171,11,2024-07-22,2024-07-30,289.58,TRK171
172,172,17,2025-10-17,2025-10-21,422.63,TRK172
173,173,3,2024-09-01,2024-09-07,252.41,TRK173
174,174,14,2025-10-15,2025-10-20,195.19,TRK174
175,175,3,2025-11-24,2025-12-03,182.78,TRK175
176,176,18,2023-11-15,2023-11-22,451.67,TRK176
177,177,3,2025-10-07,2025-10-13,335.65,TRK177
178,178,15,2025-08-09,2025-08-10,481.22,TRK178
179,179,13,2022-01-03,2022-01-08,26.93,TRK179
180,180,17,2024-03-14,2024-03-23,84.49,TRK180
181,181,3,2025-02-14,2025-02-23,75.01,TRK181
182,182,20,2022-06-14,2022-06-16,73.96,TRK182
183,183,13,2024-08-21,2024-08-29,187.19,TRK183
184,184,4,2022-02-07,2022-02-13,299.16,TRK184
185,185,19,2026-01-25,2026-01-26,497.71,TRK185
186,186,11,2023-03-18,2023-03-27,420.62,TRK186
187,187,15,2023-01-20,2023-01-22,132.27,TRK187
188,188,2,2024-08-06,2024-08-12,470.85,TRK188
189,189,14,2025-08-28,2025-08-29,166.99,TRK189
190,190,10,2023-06-04,2023-06-09,22.55,TRK190
191,191,2,2022-02-04,2022-02-09,451.83,TRK191
192,192,17,2024-05-27,2024-06-01,375.47,TRK192
193,193,20,2024-06-21,2024-06-23,106.96,TRK193
194,194,2,2024-04-23,2024-05-01,334.06,TRK194
195,195,9,2023-09-09,2023-09-18,288.79,TRK195
196,196,5,2026-05-13,2026-05-18,357.05,TRK196
197,197,9,2023-08-04,2023-08-09,212.37,TRK197
198,198,16,2022-01-27,2022-01-28,91.01,TRK198
199,199,17,2022-09-05,2022-09-09,435.33,TRK199
200,200,15,2024-07-17,2024-07-23,444.31,TRK200
201,201,14,2025-07-19,2025-07-21,450.24,TRK201
202,202,3,2022-10-07,2022-10-13,122.33,TRK202
203,203,12,2025-05-08,2025-05-09,479.53,TRK203
204,204,1,2025-05-31,2025-06-08,226.15,TRK204
205,205,4,2023-02-27,2023-03-03,213.43,TRK205
206,206,11,2025-05-27,2025-05-30,248.15,TRK206
207,207,12,2023-10-24,2023-10-25,324.22,TRK207
208,208,15,2026-03-21,2026-03-28,185.71,TRK208
209,209,19,2025-04-25,2025-05-02,127.22,TRK209
210,210,9,2025-07-31,2025-08-03,233.7,TRK210
211,211,10,2024-09-19,2024-09-20,130.69,TRK211
212,212,9,2023-09-14,2023-09-22,191.63,TRK212
213,213,14,2025-06-03,2025-06-07,323.62,TRK213
214,214,16,2026-02-11,2026-02-17,232.13,TRK214
215,215,4,2025-03-02,2025-03-03,208.74,TRK215
216,216,13,2022-11-22,2022-11-24,264.77,TRK216
217,217,15,2022-05-30,2022-06-08,391.91,TRK217
218,218,4,2025-09-20,2025-09-26,222.48,TRK218
219,219,8,2024-01-21,2024-01-27,195.93,TRK219
220,220,2,2023-11-17,2023-11-20,159.4,TRK220
221,221,2,2023-07-13,2023-07-15,86.44,TRK221
222,222,17,2026-05-20,2026-05-27,189.99,TRK222
223,223,2,2024-05-17,2024-05-27,448.64,TRK223
224,224,4,2024-08-11,2024-08-20,403.24,TRK224
225,225,2,2025-01-11,2025-01-20,359.37,TRK225
226,226,3,2022-10-01,2022-10-03,152.42,TRK226
227,227,14,2024-03-04,2024-03-09,285.11,TRK227
228,228,20,2024-10-15,2024-10-25,380.95,TRK228
229,229,20,2024-08-24,2024-08-27,92.04,TRK229
230,230,17,2023-11-15,2023-11-18,455.81,TRK230
231,231,17,2023-02-18,2023-02-25,233.33,TRK231
232,232,17,2022-11-21,2022-11-22,176.85,TRK232
233,233,3,2025-01-24,2025-01-26,39.14,TRK233
234,234,3,2025-08-28,2025-09-05,224.65,TRK234
235,235,2,2025-09-07,2025-09-17,244.04,TRK235
236,236,20,2024-06-29,2024-07-04,52.28,TRK236
237,237,3,2025-01-10,2025-01-16,403.72,TRK237
238,238,16,2025-06-18,2025-06-21,149.11,TRK238
239,239,7,2022-08-27,2022-09-02,99.76,TRK239
240,240,10,2022-03-27,2022-04-01,302.12,TRK240
241,241,4,2022-11-23,2022-12-02,78.32,TRK241
242,242,20,2024-11-14,2024-11-23,44.4,TRK242
243,243,10,2025-03-15,2025-03-23,418.26,TRK243
244,244,14,2022-11-14,2022-11-15,312.49,TRK244
245,245,13,2023-07-04,2023-07-10,497.67,TRK245
246,246,15,2023-06-19,2023-06-23,152.04,TRK246
247,247,3,2024-04-14,2024-04-23,339.12,TRK247
248,248,19,2023-09-30,2023-10-04,26.22,TRK248
249,249,15,2025-12-04,2025-12-09,272.24,TRK249
250,250,18,2024-07-27,2024-07-30,290.01,TRK250
251,251,9,2024-07-26,2024-08-04,267.71,TRK251
252,252,10,2025-02-28,2025-03-04,37.67,TRK252
253,253,10,2022-07-29,2022-08-07,65.43,TRK253
254,254,12,2022-01-31,2022-02-04,232.77,TRK254
255,255,19,2024-03-28,2024-03-30,449.05,TRK255
256,256,13,2025-07-02,2025-07-09,200.27,TRK256
257,257,3,2023-10-22,2023-10-31,106.23,TRK257
258,258,18,2023-03-23,2023-03-24,499.22,TRK258
259,259,10,2026-01-19,2026-01-22,427.55,TRK259
260,260,11,2023-06-21,2023-06-23,365.04,TRK260
261,261,5,2024-01-07,2024-01-09,133.69,TRK261
262,262,10,2022-11-12,2022-11-18,98.35,TRK262
263,263,10,2024-07-05,2024-07-14,305.79,TRK263
264,264,3,2023-05-24,2023-05-28,467.3,TRK264
265,265,14,2023-11-23,2023-11-27,366.47,TRK265
266,266,14,2023-05-16,2023-05-17,403.82,TRK266
267,267,13,2024-03-12,2024-03-21,161.76,TRK267
268,268,6,2024-03-27,2024-03-28,118.51,TRK268
269,269,3,2023-07-14,2023-07-21,255.89,TRK269
270,270,19,2026-01-12,2026-01-20,399.62,TRK270
271,271,17,2022-02-14,2022-02-21,78.28,TRK271
272,272,9,2022-10-24,2022-10-29,323.37,TRK272
273,273,9,2024-03-24,2024-03-26,363.0,TRK273
274,274,5,2025-01-09,2025-01-10,166.35,TRK274
275,275,9,2023-02-18,2023-02-28,226.16,TRK275
276,276,20,2025-03-09,2025-03-18,150.96,TRK276
277,277,11,2022-07-11,2022-07-14,272.31,TRK277
278,278,18,2023-08-13,2023-08-14,165.72,TRK278
279,279,19,2026-03-04,2026-03-06,193.78,TRK279
280,280,1,2025-11-30,2025-12-10,367.73,TRK280
281,281,12,2022-01-16,2022-01-23,325.86,TRK281
282,282,20,2023-10-14,2023-10-20,116.26,TRK282
283,283,18,2024-07-13,2024-07-20,458.51,TRK283
284,284,6,2023-11-12,2023-11-17,378.77,TRK284
285,285,19,2022-02-21,2022-02-24,273.58,TRK285
286,286,14,2022-07-03,2022-07-13,153.22,TRK286
287,287,15,2024-10-09,2024-10-17,111.04,TRK287
288,288,16,2025-02-25,2025-03-03,39.58,TRK288
289,289,2,2022-03-12,2022-03-17,449.51,TRK289
290,290,9,2026-04-06,2026-04-14,66.19,TRK290
291,291,13,2024-11-16,2024-11-26,177.17,TRK291
292,292,16,2025-09-30,2025-10-07,344.95,TRK292
293,293,3,2025-02-25,2025-03-01,213.39,TRK293
294,294,11,2024-10-18,2024-10-26,307.7,TRK294
295,295,18,2026-05-11,2026-05-18,479.83,TRK295
296,296,12,2026-04-08,2026-04-09,313.18,TRK296
297,297,19,2024-12-14,2024-12-22,418.39,TRK297
298,298,7,2023-09-14,2023-09-24,265.65,TRK298
299,299,9,2023-08-28,2023-08-30,244.5,TRK299
300,300,19,2025-07-14,2025-07-23,298.93,TRK300
301,301,10,2025-03-26,2025-04-04,96.65,TRK301
302,302,13,2022-09-26,2022-10-05,285.24,TRK302
303,303,4,2024-09-24,2024-10-03,185.94,TRK303
304,304,14,2022-03-24,2022-03-25,420.85,TRK304
305,305,20,2025-06-14,2025-06-21,359.12,TRK305
306,306,10,2023-04-30,2023-05-10,402.11,TRK306
307,307,9,2023-03-19,2023-03-20,38.82,TRK307
308,308,19,2022-11-28,2022-12-07,285.52,TRK308
309,309,2,2022-07-27,2022-07-28,403.91,TRK309
310,310,10,2025-04-11,2025-04-15,419.09,TRK310
311,311,9,2025-02-11,2025-02-12,305.34,TRK311
312,312,12,2025-05-19,2025-05-29,263.65,TRK312
313,313,15,2022-08-10,2022-08-20,321.1,TRK313
314,314,15,2023-10-21,2023-10-23,399.69,TRK314
315,315,2,2023-02-27,2023-03-06,72.63,TRK315
316,316,5,2024-04-06,2024-04-11,386.15,TRK316
317,317,9,2023-12-15,2023-12-16,468.52,TRK317
318,318,13,2025-03-13,2025-03-21,112.49,TRK318
319,319,16,2025-06-26,2025-06-30,479.87,TRK319
320,320,13,2024-09-12,2024-09-13,457.33,TRK320
321,321,15,2022-03-15,2022-03-18,256.19,TRK321
322,322,2,2023-03-12,2023-03-19,498.78,TRK322
323,323,6,2024-12-03,2024-12-04,346.1,TRK323
324,324,8,2026-02-06,2026-02-10,332.34,TRK324
325,325,15,2023-01-14,2023-01-18,93.92,TRK325
326,326,4,2023-03-18,2023-03-21,196.99,TRK326
327,327,14,2024-09-27,2024-09-29,235.05,TRK327
328,328,7,2022-09-14,2022-09-24,474.27,TRK328
329,329,7,2022-05-26,2022-06-04,392.99,TRK329
330,330,19,2025-05-22,2025-05-27,114.98,TRK330
331,331,1,2026-03-24,2026-03-26,401.19,TRK331
332,332,7,2023-03-14,2023-03-19,178.13,TRK332
333,333,3,2023-01-23,2023-01-25,373.05,TRK333
334,334,9,2023-09-27,2023-10-06,466.83,TRK334
335,335,20,2022-07-16,2022-07-24,224.53,TRK335
336,336,19,2022-12-02,2022-12-07,149.85,TRK336
337,337,14,2025-08-16,2025-08-26,69.67,TRK337
338,338,10,2023-11-14,2023-11-17,55.72,TRK338
339,339,10,2024-05-10,2024-05-15,303.23,TRK339
340,340,7,2024-08-10,2024-08-13,70.25,TRK340
341,341,12,2025-05-20,2025-05-28,40.34,TRK341
342,342,5,2025-11-15,2025-11-19,325.62,TRK342
343,343,12,2025-12-13,2025-12-16,223.05,TRK343
344,344,6,2024-01-24,2024-02-03,365.27,TRK344
345,345,15,2023-02-25,2023-02-27,392.61,TRK345
346,346,9,2025-03-02,2025-03-12,158.06,TRK346
347,347,19,2022-02-10,2022-02-12,163.75,TRK347
348,348,9,2024-02-11,2024-02-12,130.32,TRK348
349,349,17,2025-09-18,2025-09-22,33.71,TRK349
350,350,19,2022-11-19,2022-11-22,175.88,TRK350
351,351,11,2024-10-29,2024-11-04,121.41,TRK351
352,352,4,2024-01-24,2024-01-31,29.56,TRK352
353,353,8,2025-09-18,2025-09-21,131.24,TRK353
354,354,15,2023-02-24,2023-02-25,475.67,TRK354
355,355,7,2023-06-15,2023-06-22,475.45,TRK355
356,356,18,2022-05-11,2022-05-16,388.19,TRK356
357,357,3,2023-09-26,2023-10-02,215.32,TRK357
358,358,8,2025-05-01,2025-05-11,315.44,TRK358
359,359,14,2023-11-04,2023-11-12,148.88,TRK359
360,360,12,2025-08-02,2025-08-09,363.03,TRK360
361,361,2,2025-02-27,2025-03-07,471.95,TRK361
362,362,4,2023-06-18,2023-06-24,251.47,TRK362
363,363,20,2022-02-03,2022-02-04,20.46,TRK363
364,364,18,2026-02-17,2026-02-24,438.22,TRK364
365,365,13,2025-04-04,2025-04-09,366.55,TRK365
366,366,10,2024-01-28,2024-01-30,429.57,TRK366
367,367,19,2024-03-23,2024-03-26,277.38,TRK367
368,368,13,2026-01-25,2026-01-28,123.02,TRK368
369,369,20,2025-07-23,2025-07-27,464.93,TRK369
370,370,15,2024-08-12,2024-08-15,284.52,TRK370
371,371,4,2024-07-08,2024-07-14,359.52,TRK371
372,372,4,2026-03-22,2026-03-23,70.04,TRK372
373,373,2,2022-10-11,2022-10-14,171.33,TRK373
374,374,4,2026-03-11,2026-03-19,427.31,TRK374
375,375,8,2023-04-20,2023-04-21,260.91,TRK375
376,376,4,2025-05-08,2025-05-10,201.42,TRK376
377,377,4,2023-08-09,2023-08-10,491.1,TRK377
378,378,11,2022-03-21,2022-03-28,105.33,TRK378
379,379,13,2025-11-10,2025-11-17,364.87,TRK379
380,380,1,2026-05-19,2026-05-25,284.56,TRK380
381,381,9,2025-06-13,2025-06-14,67.89,TRK381
382,382,14,2023-07-07,2023-07-08,217.99,TRK382
383,383,5,2024-10-17,2024-10-26,163.29,TRK383
384,384,17,2026-05-10,2026-05-20,169.18,TRK384
385,385,18,2024-05-25,2024-05-29,66.49,TRK385
386,386,19,2024-08-30,2024-09-08,161.03,TRK386
387,387,14,2024-04-22,2024-04-29,209.48,TRK387
388,388,10,2026-01-03,2026-01-04,233.49,TRK388
389,389,14,2023-04-09,2023-04-19,451.31,TRK389
390,390,10,2026-04-27,2026-05-07,361.15,TRK390
391,391,9,2024-01-14,2024-01-22,259.07,TRK391
392,392,12,2022-11-25,2022-12-04,340.71,TRK392
393,393,14,2026-01-31,2026-02-03,200.88,TRK393
394,394,3,2023-07-21,2023-07-31,447.14,TRK394
395,395,20,2022-07-20,2022-07-29,235.65,TRK395
396,396,15,2024-03-20,2024-03-23,322.97,TRK396
397,397,20,2024-07-27,2024-08-05,150.51,TRK397
398,398,9,2025-09-19,2025-09-29,85.88,TRK398
399,399,10,2023-01-12,2023-01-14,254.49,TRK399
400,400,4,2025-10-17,2025-10-27,345.04,TRK400
401,401,9,2023-06-17,2023-06-26,498.68,TRK401
402,402,4,2025-01-27,2025-02-06,350.09,TRK402
403,403,20,2024-03-03,2024-03-09,377.46,TRK403
404,404,15,2022-10-11,2022-10-16,483.59,TRK404
405,405,16,2023-10-24,2023-11-03,431.04,TRK405
406,406,18,2025-06-26,2025-07-04,52.43,TRK406
407,407,8,2024-05-24,2024-05-31,434.46,TRK407
408,408,10,2024-04-01,2024-04-04,118.21,TRK408
409,409,12,2025-08-23,2025-08-26,466.08,TRK409
410,410,12,2022-06-03,2022-06-08,456.24,TRK410
411,411,12,2024-03-10,2024-03-13,53.27,TRK411
412,412,15,2023-08-19,2023-08-21,247.22,TRK412
413,413,7,2026-05-18,2026-05-20,312.94,TRK413
414,414,4,2025-02-25,2025-03-05,198.78,TRK414
415,415,19,2025-12-26,2025-12-28,235.19,TRK415
416,416,8,2026-03-12,2026-03-13,138.41,TRK416
417,417,2,2024-09-12,2024-09-20,105.39,TRK417
418,418,4,2026-02-24,2026-03-02,287.57,TRK418
419,419,1,2023-06-13,2023-06-15,69.7,TRK419
420,420,1,2023-10-24,2023-11-01,372.9,TRK420
421,421,15,2026-02-12,2026-02-21,204.3,TRK421
422,422,6,2025-03-13,2025-03-20,307.07,TRK422
423,423,9,2023-01-22,2023-01-27,94.37,TRK423
424,424,10,2023-01-02,2023-01-12,391.12,TRK424
425,425,3,2026-01-27,2026-01-29,226.47,TRK425
426,426,3,2023-05-17,2023-05-24,398.21,TRK426
427,427,5,2025-08-10,2025-08-14,431.36,TRK427
428,428,9,2024-02-04,2024-02-12,379.0,TRK428
429,429,6,2023-01-26,2023-02-04,73.72,TRK429
430,430,11,2024-12-01,2024-12-04,424.97,TRK430
431,431,11,2024-05-16,2024-05-18,225.34,TRK431
432,432,16,2022-06-16,2022-06-20,347.58,TRK432
433,433,7,2023-12-11,2023-12-21,458.36,TRK433
434,434,9,2023-01-03,2023-01-06,209.09,TRK434
435,435,9,2025-01-29,2025-01-31,323.06,TRK435
436,436,20,2022-09-11,2022-09-18,183.47,TRK436
437,437,14,2024-10-14,2024-10-23,347.09,TRK437
438,438,7,2022-04-30,2022-05-09,396.59,TRK438
439,439,10,2024-11-20,2024-11-25,187.07,TRK439
440,440,9,2022-12-03,2022-12-13,385.1,TRK440
441,441,20,2022-01-20,2022-01-29,111.77,TRK441
442,442,15,2023-07-23,2023-07-31,241.2,TRK442
443,443,8,2023-12-08,2023-12-12,166.33,TRK443
444,444,13,2025-06-10,2025-06-19,478.33,TRK444
445,445,12,2025-12-29,2026-01-07,24.42,TRK445
446,446,20,2022-09-28,2022-10-05,195.42,TRK446
447,447,9,2026-01-16,2026-01-17,299.9,TRK447
448,448,9,2023-01-13,2023-01-14,269.79,TRK448
449,449,20,2025-08-16,2025-08-24,169.74,TRK449
450,450,7,2023-07-30,2023-08-03,263.87,TRK450
451,451,3,2022-08-13,2022-08-22,120.25,TRK451
452,452,11,2024-07-10,2024-07-15,424.26,TRK452
453,453,8,2025-08-26,2025-09-01,61.41,TRK453
454,454,14,2023-09-16,2023-09-19,392.26,TRK454
455,455,15,2023-05-09,2023-05-15,233.08,TRK455
456,456,12,2022-08-19,2022-08-24,439.81,TRK456
457,457,19,2022-11-17,2022-11-25,106.6,TRK457
458,458,1,2023-11-23,2023-11-30,242.6,TRK458
459,459,16,2022-12-13,2022-12-21,253.39,TRK459
460,460,2,2023-04-03,2023-04-12,392.11,TRK460
461,461,9,2024-05-29,2024-05-31,104.44,TRK461
462,462,9,2024-03-06,2024-03-08,389.06,TRK462
463,463,19,2023-07-30,2023-08-07,415.5,TRK463
464,464,4,2024-06-15,2024-06-21,430.95,TRK464
465,465,8,2024-03-12,2024-03-17,453.54,TRK465
466,466,19,2023-12-23,2023-12-29,237.38,TRK466
467,467,9,2023-08-30,2023-09-06,399.34,TRK467
468,468,16,2024-01-31,2024-02-08,44.87,TRK468
469,469,5,2025-06-12,2025-06-14,56.66,TRK469
470,470,6,2022-05-09,2022-05-16,363.79,TRK470
471,471,3,2024-12-24,2025-01-01,485.74,TRK471
472,472,14,2026-02-06,2026-02-15,207.09,TRK472
473,473,5,2026-02-03,2026-02-11,334.48,TRK473
474,474,3,2023-07-01,2023-07-05,386.21,TRK474
475,475,3,2023-09-07,2023-09-16,161.28,TRK475
476,476,6,2024-09-03,2024-09-04,488.47,TRK476
477,477,16,2025-03-04,2025-03-09,486.12,TRK477
478,478,8,2024-08-20,2024-08-24,171.72,TRK478
479,479,11,2026-03-05,2026-03-12,379.52,TRK479
