return_id,order_id,product_id,return_date,reason,refund_amount
140,1612,1745,2023-05-11,Quality Issue,104008.42
141,1624,1821,2025-12-16,Quality Issue,3623.87
142,1638,664,2023-09-06,Quality Issue,56716.25
143,1639,867,2023-11-05,Quality Issue,26886.05
144,1642,586,2024-09-23,Quality Issue,41397.7
145,1671,797,2022-03-13,Quality Issue,30842.85
146,1672,1522,2022-10-24,Quality Issue,5438.58
147,1694,1819,2025-07-10,Quality Issue,53054.98
148,1759,1341,2023-02-20,Quality Issue,68161.1
149,1785,791,2023-12-06,Quality Issue,110099.36
150,1800,1499,2023-03-22,Quality Issue,19327.86
151,1811,1174,2023-02-28,Quality Issue,25440.7
152,1813,1240,2025-05-08,Quality Issue,67534.56
153,1825,1387,2022-08-02,Quality Issue,32130.14
154,1833,573,2026-02-06,Quality Issue,18020.77
155,1833,343,2026-02-06,Quality Issue,66502.13
156,1890,933,2025-07-08,Quality Issue,65398.63
157,1896,449,2022-08-04,Quality Issue,22826.01
158,1924,520,2025-02-05,Quality Issue,11592.86
159,1943,1376,2023-06-17,Quality Issue,12361.5
160,1953,1768,2025-09-27,Quality Issue,134654.66
161,1986,1506,2022-05-29,Quality Issue,35325.38
162,2031,315,2026-04-10,Quality Issue,6102.08
163,2035,1762,2026-02-08,Quality Issue,10493.55
164,2051,1847,2024-11-20,Quality Issue,2808.21
165,2065,288,2025-04-16,Quality Issue,105743.16
166,2069,480,2024-10-18,Quality Issue,27113.4
167,2096,630,2022-08-11,Quality Issue,20087.32
168,2097,1196,2025-07-23,Quality Issue,28267.49
169,2117,320,2022-08-15,Quality Issue,64677.39
170,2133,755,2024-03-23,Quality Issue,76699.66
171,2146,1900,2025-07-30,Quality Issue,33859.74
172,2156,558,2022-04-13,Quality Issue,135386.82
173,2163,1460,2024-10-12,Quality Issue,10406.18
174,2181,298,2025-09-19,Quality Issue,97118.35
175,2196,1248,2024-11-12,Quality Issue,49979.9
176,2207,1532,2022-09-22,Quality Issue,34933.22
177,2214,1216,2025-09-12,Quality Issue,134863.39
178,2215,1208,2022-10-30,Quality Issue,11402.9
179,2216,1000,2025-03-14,Quality Issue,23688.46
180,2242,1322,2024-01-17,Quality Issue,25395.65
181,2258,1475,2023-01-04,Quality Issue,31746.38
182,2282,153,2023-09-09,Quality Issue,36650.93
183,2293,695,2023-08-30,Quality Issue,41478.72
184,2325,1973,2023-06-08,Quality Issue,34660.59
185,2340,310,2023-06-30,Quality Issue,142552.67
186,2353,1820,2022-01-03,Quality Issue,50530.9
187,2431,414,2024-08-08,Quality Issue,97779.79
188,2441,218,2023-09-13,Quality Issue,25303.98
189,2443,1701,2023-02-21,Quality Issue,126707.46
190,2443,714,2023-02-21,Quality Issue,43429.89
191,2462,236,2025-09-07,Quality Issue,2454.08
192,2471,1993,2022-08-10,Quality Issue,37105.49
193,2478,694,2022-08-16,Quality Issue,37213.42
194,2482,1401,2025-09-01,Quality Issue,151062.5
195,2483,1616,2024-02-28,Quality Issue,146244.45
196,2493,113,2024-05-05,Quality Issue,12133.25
197,2501,620,2026-01-28,Quality Issue,158443.2
198,2523,1628,2022-08-06,Quality Issue,105147.2
199,2543,167,2024-10-21,Quality Issue,8977.98
200,2545,441,2023-07-29,Quality Issue,26099.9
201,2562,205,2022-12-27,Quality Issue,120110.98
202,2584,180,2025-10-16,Quality Issue,97082.72
203,2609,1863,2025-12-27,Quality Issue,15299.11
204,2614,883,2023-07-18,Quality Issue,25079.2
205,2617,1946,2025-04-09,Quality Issue,102863.52
206,2631,209,2023-09-20,Quality Issue,81211.07
207,2643,285,2024-03-26,Quality Issue,15365.22
208,2700,436,2025-12-23,Quality Issue,144980.48
209,2706,640,2022-02-23,Quality Issue,44595.3
210,2716,837,2022-08-27,Quality Issue,31524.72
211,2726,1736,2026-04-30,Quality Issue,42025.97
212,2728,1388,2022-05-17,Quality Issue,10802.9
213,2729,460,2024-08-26,Quality Issue,35798.76
214,2735,138,2026-02-08,Quality Issue,137533.57
215,2739,731,2026-03-09,Quality Issue,22542.83
216,2745,447,2023-06-04,Quality Issue,7738.68
217,2764,892,2023-08-15,Quality Issue,3175.95
218,2775,417,2022-07-13,Quality Issue,92998.78
219,2779,1231,2024-02-20,Quality Issue,12197.42
220,2785,131,2024-09-30,Quality Issue,38124.57
221,2804,482,2022-07-30,Quality Issue,66045.89
222,2812,990,2024-04-22,Quality Issue,73769.78
223,2824,488,2025-08-11,Quality Issue,78300.6
224,2833,943,2024-03-26,Quality Issue,101625.46
225,2838,1109,2022-04-11,Quality Issue,108281.02
226,2860,375,2024-02-25,Quality Issue,52499.42
227,2873,1472,2023-03-08,Quality Issue,19235.94
228,2879,1540,2025-03-08,Quality Issue,21565.23
229,2891,113,2022-08-21,Quality Issue,95647.1
230,2990,1918,2025-07-29,Quality Issue,31974.83
231,3002,1563,2024-03-15,Quality Issue,43899.46
232,3020,1615,2026-03-05,Quality Issue,33692.38
233,3032,771,2023-01-04,Quality Issue,57188.83
234,3046,187,2026-03-03,Quality Issue,34540.63
235,3046,1539,2026-03-03,Quality Issue,21237.94
236,3057,1894,2024-05-16,Quality Issue,13670.29
237,3062,45,2022-07-21,Quality Issue,9222.82
238,3103,322,2025-05-28,Quality Issue,87745.73
239,3106,786,2022-05-23,Quality Issue,125174.98
240,3117,1243,2026-03-27,Quality Issue,118494.7
241,3120,248,2022-01-24,Quality Issue,31405.09
242,3122,513,2024-09-18,Quality Issue,39134.69
243,3143,504,2025-06-05,Quality Issue,88608.36
244,3149,1812,2022-02-19,Quality Issue,56426.45
245,3155,278,2024-01-31,Quality Issue,139071.55
246,3157,1473,2025-03-18,Quality Issue,75832.78
247,3160,1988,2025-05-16,Quality Issue,58040.48
248,3169,11,2023-12-27,Quality Issue,77985.72
249,3169,1761,2023-12-27,Quality Issue,5672.01
250,3180,1890,2025-04-03,Quality Issue,41060.54
251,3185,1302,2023-04-03,Quality Issue,39361.87
252,3195,1210,2024-05-19,Quality Issue,35243.6
253,3204,1038,2024-06-25,Quality Issue,14617.73
254,3206,1920,2026-04-18,Quality Issue,17040.54
255,3221,1590,2022-10-20,Quality Issue,52334.72
256,3232,1959,2026-02-19,Quality Issue,63325.76
257,3238,719,2024-05-12,Quality Issue,70679.25
258,3249,431,2023-02-23,Quality Issue,141774.43
259,3283,1803,2022-07-23,Quality Issue,66488.57
260,3299,1421,2025-08-07,Quality Issue,92626.82
261,3300,228,2023-12-31,Quality Issue,40392.93
262,3324,643,2022-04-06,Quality Issue,41097.57
263,3339,348,2023-06-14,Quality Issue,23064.5
264,3378,1990,2024-03-13,Quality Issue,29581.63
265,3386,540,2025-12-13,Quality Issue,75808.96
266,3392,472,2023-08-26,Quality Issue,77018.58
267,3396,1323,2024-08-12,Quality Issue,18307.96
268,3405,1686,2025-08-21,Quality Issue,20300.02
269,3405,799,2025-08-21,Quality Issue,19741.13
270,3408,460,2022-01-19,Quality Issue,63134.81
271,3412,59,2022-02-18,Quality Issue,57501.65
272,3419,1065,2024-05-27,Quality Issue,35761.6
273,3426,902,2026-04-18,Quality Issue,12016.3
274,3428,966,2025-04-11,Quality Issue,14804.2
275,3437,1353,2023-05-08,Quality Issue,72743.9
276,3452,1793,2026-04-29,Quality Issue,45345.86
277,3471,1907,2025-09-23,Quality Issue,118138.11
278,3503,1665,2025-04-12,Quality Issue,6459.96
279,3505,1996,2023-10-22,Quality Issue,44554.11
280,3528,618,2025-07-25,Quality Issue,109136.45
281,3528,1608,2025-07-25,Quality Issue,40034.14
282,3538,279,2022-09-19,Quality Issue,107277.76
283,3546,1303,2024-03-04,Quality Issue,16275.41
284,3551,552,2025-12-13,Quality Issue,7294.53
285,3552,1657,2025-09-06,Quality Issue,22612.06
286,3559,1891,2023-05-17,Quality Issue,9949.21
287,3568,430,2024-08-30,Quality Issue,17681.59
288,3595,457,2025-01-11,Quality Issue,45868.58
289,3601,1648,2023-02-07,Quality Issue,10270.95
290,3606,228,2025-02-23,Quality Issue,7946.35
291,3607,488,2024-04-01,Quality Issue,61087.08
292,3609,65,2023-11-14,Quality Issue,69592.29
293,3671,1088,2022-05-09,Quality Issue,56107.04
294,3676,234,2023-01-12,Quality Issue,31240.72
295,3688,801,2022-09-14,Quality Issue,17804.16
296,3703,1678,2025-09-09,Quality Issue,85540.78
297,3703,1086,2025-09-09,Quality Issue,76778.14
298,3705,1929,2026-02-09,Quality Issue,18539.46
299,3714,362,2022-03-15,Quality Issue,17747.59
300,3752,1831,2025-09-22,Quality Issue,85152.42
301,3767,158,2023-01-31,Quality Issue,1790.15
302,3771,288,2023-03-19,Quality Issue,10665.41
303,3776,640,2023-10-16,Quality Issue,30603.58
304,3783,1539,2022-06-29,Quality Issue,56970.24
305,3798,784,2024-11-28,Quality Issue,34300.03
306,3801,703,2023-10-09,Quality Issue,67612.9
307,3809,1047,2025-09-16,Quality Issue,20326.53
308,3837,799,2023-12-18,Quality Issue,56008.25
309,3846,1681,2023-09-24,Quality Issue,27257.06
310,3854,9,2025-10-15,Quality Issue,78875.14
311,3855,970,2024-01-09,Quality Issue,31147.73
312,3895,643,2023-07-21,Quality Issue,98828.74
313,3898,961,2024-11-22,Quality Issue,71560.0
314,3920,1344,2022-03-31,Quality Issue,52125.5
315,3922,1430,2024-06-22,Quality Issue,42681.29
316,3940,913,2026-05-16,Quality Issue,69310.75
317,3944,140,2023-09-12,Quality Issue,5777.76
318,3972,1062,2022-03-03,Quality Issue,10761.62
319,3974,422,2024-11-05,Quality Issue,33342.45
320,3987,991,2022-08-20,Quality Issue,91288.35
321,4011,1852,2024-06-14,Quality Issue,9261.78
322,4020,1854,2025-12-14,Quality Issue,55004.72
323,4021,970,2022-10-30,Quality Issue,84757.82
324,4022,950,2023-12-09,Quality Issue,73729.33
325,4055,1690,2024-02-18,Quality Issue,128308.32
326,4056,717,2022-06-27,Quality Issue,9822.72
327,4083,222,2024-01-11,Quality Issue,33589.5
328,4091,934,2022-11-23,Quality Issue,23342.22
329,4115,1686,2023-11-07,Quality Issue,44895.6
330,4122,539,2022-09-11,Quality Issue,44968.3
331,4129,961,2026-04-13,Quality Issue,83763.02
332,4161,463,2022-10-18,Quality Issue,80072.33
333,4188,1600,2024-11-05,Quality Issue,22712.62
334,4221,1112,2024-08-30,Quality Issue,64299.22
335,4230,1378,2025-11-19,Quality Issue,37360.25
336,4269,1100,2023-12-01,Quality Issue,32541.54
337,4295,276,2023-12-22,Quality Issue,96101.93
338,4296,1510,2022-01-30,Quality Issue,16963.52
339,4297,613,2023-04-21,Quality Issue,35269.43
340,4305,1368,2025-12-18,Quality Issue,9916.22
341,4314,1895,2025-11-28,Quality Issue,42007.3
342,4316,611,2024-03-17,Quality Issue,3042.69
343,4340,1640,2024-02-01,Quality Issue,102776.86
344,4342,1280,2025-04-29,Quality Issue,9991.55
345,4358,5,2023-03-09,Quality Issue,23399.07
346,4369,663,2023-07-31,Quality Issue,29643.1
347,4389,1355,2022-12-10,Quality Issue,1374.84
348,4390,1437,2022-01-26,Quality Issue,16340.08
349,4391,1200,2024-01-05,Quality Issue,77793.7
350,4394,1382,2023-10-02,Quality Issue,60223.22
351,4431,492,2024-05-07,Quality Issue,105893.6
352,4452,50,2025-05-28,Quality Issue,52711.42
353,4459,568,2022-02-10,Quality Issue,32251.78
354,4496,914,2025-08-07,Quality Issue,36806.42
355,4502,1895,2022-04-18,Quality Issue,95627.14
356,4503,422,2022-11-26,Quality Issue,130104.7
357,4505,969,2022-07-31,Quality Issue,27195.82
358,4513,116,2024-04-15,Quality Issue,79925.09
359,4519,830,2024-10-12,Quality Issue,93472.1
360,4531,839,2025-10-09,Quality Issue,36944.0
361,4556,830,2022-04-30,Quality Issue,7403.11
362,4578,414,2023-11-19,Quality Issue,157014.94
363,4579,1201,2023-02-07,Quality Issue,13566.07
364,4603,1775,2026-04-30,Quality Issue,5731.72
365,4618,1979,2022-10-25,Quality Issue,76699.03
366,4650,157,2022-03-16,Quality Issue,5778.77
367,4651,914,2025-01-07,Quality Issue,67293.55
368,4663,1462,2025-06-06,Quality Issue,48205.87
369,4679,1426,2024-12-06,Quality Issue,119999.68
370,4696,89,2024-06-16,Quality Issue,22129.15
371,4704,912,2022-05-21,Quality Issue,89420.19
372,4722,980,2022-09-14,Quality Issue,40897.54
373,4734,726,2022-04-20,Quality Issue,57205.13
374,4763,1592,2024-04-24,Quality Issue,5725.27
375,4767,263,2024-02-10,Quality Issue,92697.02
376,4769,1473,2024-08-05,Quality Issue,88999.42
377,4795,599,2022-03-15,Quality Issue,26227.18
378,4836,1584,2022-06-16,Quality Issue,28574.96
379,4850,1326,2024-06-03,Quality Issue,75831.18
380,4853,1793,2025-12-05,Quality Issue,12492.32
381,4858,440,2024-09-16,Quality Issue,142438.27
382,4874,422,2025-06-10,Quality Issue,21540.46
383,4883,1914,2022-11-13,Quality Issue,77413.82
384,4885,1646,2026-04-17,Quality Issue,117338.69
385,4890,1939,2022-10-27,Quality Issue,64779.84
386,4900,364,2026-04-07,Quality Issue,123028.35
387,4905,1981,2022-06-12,Quality Issue,2083.49
388,4919,1054,2022-09-25,Quality Issue,7980.69
389,4924,294,2026-04-07,Quality Issue,30709.15
390,4933,1247,2023-08-16,Quality Issue,62684.22
391,4955,885,2022-08-27,Quality Issue,56323.68
392,4964,1697,2022-05-15,Quality Issue,36732.98
393,4979,92,2025-08-23,Quality Issue,68489.02
394,4982,1330,2022-05-02,Quality Issue,113168.23
395,4984,1878,2022-09-06,Quality Issue,147176.8
396,4995,885,2023-06-19,Quality Issue,4506.54
397,5013,1022,2025-03-19,Quality Issue,7900.78
398,5023,148,2025-03-20,Quality Issue,107901.86
399,5026,266,2022-01-22,Quality Issue,24254.16
400,5026,61,2022-01-22,Quality Issue,20145.34
401,5028,964,2026-01-27,Quality Issue,100097.64
402,5043,1946,2023-08-26,Quality Issue,114684.98
403,5045,351,2025-10-23,Quality Issue,18419.15
404,5051,652,2024-09-04,Quality Issue,16782.43
405,5063,1485,2026-01-05,Quality Issue,15084.93
406,5086,1019,2023-03-14,Quality Issue,48900.29
407,5142,529,2025-04-01,Quality Issue,52589.09
408,5147,1236,2023-10-29,Quality Issue,31934.19
409,5152,1010,2025-06-23,Quality Issue,39881.68
410,5154,1783,2022-11-14,Quality Issue,51862.98
411,5158,441,2025-01-15,Quality Issue,22687.39
412,5174,1319,2024-09-01,Quality Issue,684.03
413,5186,1434,2025-09-21,Quality Issue,145922.62
414,5201,1578,2024-12-27,Quality Issue,73129.54
415,5207,1786,2022-03-06,Quality Issue,9663.62
416,5207,744,2022-03-06,Quality Issue,59967.33
417,5290,1150,2024-08-10,Quality Issue,22700.62
418,5308,594,2022-02-26,Quality Issue,55118.61
419,5335,471,2024-07-03,Quality Issue,29278.77
420,5339,1367,2023-05-24,Quality Issue,112387.15
421,5343,87,2023-10-23,Quality Issue,51738.75
422,5344,92,2022-02-07,Quality Issue,75539.65
423,5348,1590,2025-09-02,Quality Issue,8421.1
424,5348,1775,2025-09-02,Quality Issue,28017.05
425,5377,1899,2025-03-09,Quality Issue,20391.49
426,5389,1580,2022-07-05,Quality Issue,70499.98
427,5396,973,2022-12-23,Quality Issue,103083.94
428,5401,1040,2023-09-19,Quality Issue,121167.01
429,5408,1703,2022-09-27,Quality Issue,54546.36
430,5439,145,2024-07-10,Quality Issue,25629.12
431,5440,1440,2023-04-07,Quality Issue,79541.57
432,5458,533,2025-04-08,Quality Issue,146848.58
433,5493,1690,2023-07-12,Quality Issue,54364.37
434,5502,976,2022-07-03,Quality Issue,9083.28
435,5509,1889,2022-02-24,Quality Issue,25475.62
436,5528,106,2023-08-25,Quality Issue,39547.2
437,5568,1966,2023-02-21,Quality Issue,99105.62
438,5576,1733,2023-06-11,Quality Issue,68490.78
439,5601,1427,2025-10-26,Quality Issue,12442.53
440,5604,1169,2023-12-29,Quality Issue,26852.93
441,5628,1172,2023-10-16,Quality Issue,108060.83
442,5635,1776,2025-01-24,Quality Issue,157230.69
443,5645,1157,2025-10-08,Quality Issue,36700.97
444,5662,1650,2024-12-04,Quality Issue,30692.61
445,5673,597,2025-09-25,Quality Issue,8076.51
446,5689,1686,2024-11-04,Quality Issue,22354.35
447,5717,463,2023-01-30,Quality Issue,76397.76
448,5718,1332,2024-07-06,Quality Issue,26000.37
449,5735,1675,2022-11-11,Quality Issue,26326.45
450,5760,2000,2023-02-01,Quality Issue,15276.98
451,5769,1431,2024-10-12,Quality Issue,56272.03
452,5794,1665,2024-11-25,Quality Issue,34028.02
453,5803,1361,2023-08-01,Quality Issue,127646.91
454,5805,1997,2023-07-30,Quality Issue,36450.78
455,5824,710,2026-01-04,Quality Issue,8015.9
456,5902,864,2022-02-23,Quality Issue,3772.64
457,5914,508,2024-04-23,Quality Issue,60384.32
458,5916,467,2025-05-06,Quality Issue,8311.88
459,5930,637,2026-03-19,Quality Issue,21235.34
460,5946,1592,2022-06-15,Quality Issue,15287.34
461,5953,1976,2023-10-24,Quality Issue,21037.66
462,5964,668,2025-04-16,Quality Issue,32253.02
463,5975,355,2022-07-20,Quality Issue,3006.98
464,5987,505,2024-03-04,Quality Issue,108242.69
465,6014,154,2024-10-12,Quality Issue,67285.38
466,6030,600,2025-09-22,Quality Issue,2727.16
467,6056,1359,2025-07-14,Quality Issue,19961.78
468,6058,1516,2022-02-16,Quality Issue,5712.22
469,6067,415,2024-12-27,Quality Issue,3266.64
470,6073,671,2025-03-28,Quality Issue,97836.77
471,6073,2000,2025-03-28,Quality Issue,130512.35
472,6082,1601,2023-05-31,Quality Issue,47149.18
473,6092,1709,2025-05-18,Quality Issue,27440.16
474,6095,1151,2022-06-07,Quality Issue,55975.74
475,6101,1004,2024-04-11,Quality Issue,1720.5
476,6117,502,2023-06-17,Quality Issue,146660.54
477,6132,648,2022-04-28,Quality Issue,38062.72
478,6141,1608,2024-11-24,Quality Issue,6944.76
479,6151,1922,2024-09-14,Quality Issue,103137.36
480,6165,1325,2023-10-27,Quality Issue,48928.61
481,6177,1984,2024-01-12,Quality Issue,36725.52
482,6190,597,2024-12-09,Quality Issue,6650.66
483,6192,1612,2024-05-21,Quality Issue,1396.86
484,6207,1798,2025-04-30,Quality Issue,7285.03
485,6214,1134,2023-03-06,Quality Issue,14984.74
486,6253,127,2023-10-20,Quality Issue,53228.14
487,6258,1399,2026-03-17,Quality Issue,72533.95
488,6304,100,2022-02-03,Quality Issue,126564.29
489,6352,1439,2023-07-28,Quality Issue,114172.8
490,6354,362,2023-11-16,Quality Issue,3441.18
491,6359,1064,2022-08-27,Quality Issue,30755.6
492,6409,1304,2025-03-02,Quality Issue,4937.15
493,6413,21,2026-05-20,Quality Issue,34900.51
494,6432,1346,2023-02-10,Quality Issue,5603.75
495,6457,1962,2025-09-07,Quality Issue,4634.56
496,6461,1673,2025-04-15,Quality Issue,29535.92
497,6500,1471,2026-01-21,Quality Issue,5857.07
498,6539,1993,2022-06-23,Quality Issue,153361.54
499,6540,673,2026-03-18,Quality Issue,25121.93
500,6563,145,2025-05-21,Quality Issue,47619.34
501,6605,113,2023-05-10,Quality Issue,57582.67
502,6619,1368,2025-12-15,Quality Issue,76102.98
503,6620,940,2024-02-09,Quality Issue,5047.98
504,6625,964,2022-09-10,Quality Issue,21212.37
505,6643,956,2025-09-21,Quality Issue,67420.08
506,6644,1381,2022-01-25,Quality Issue,68060.7
507,6680,891,2024-03-21,Quality Issue,66017.22
508,6689,1078,2022-01-16,Quality Issue,88200.48
509,6704,1592,2022-07-17,Quality Issue,75545.78
510,6739,1745,2022-12-07,Quality Issue,5821.27
511,6742,63,2023-11-19,Quality Issue,61037.68
512,6749,1765,2023-09-17,Quality Issue,32388.13
513,6750,748,2024-06-30,Quality Issue,35871.87
514,6786,692,2022-05-11,Quality Issue,32946.1
515,6819,1862,2023-04-07,Quality Issue,67709.25
516,6824,1159,2024-01-28,Quality Issue,11658.92
517,6855,87,2024-12-22,Quality Issue,94664.04
518,6857,505,2023-10-19,Quality Issue,117422.47
519,6879,1963,2022-12-16,Quality Issue,51315.7
520,6881,1049,2025-03-18,Quality Issue,24671.76
521,6903,121,2023-04-05,Quality Issue,8111.65
522,6903,1184,2023-04-05,Quality Issue,61365.18
523,6954,1292,2023-01-15,Quality Issue,38490.7
524,6956,369,2024-03-08,Quality Issue,96265.76
525,7008,1349,2026-02-02,Quality Issue,97533.09
526,7023,1677,2025-08-17,Quality Issue,37478.1
527,7023,959,2025-08-17,Quality Issue,31109.02
528,7027,225,2026-01-08,Quality Issue,90697.39
529,7031,215,2024-08-20,Quality Issue,46063.94
