product_id,category_id,brand_id,supplier_id,product_name,description,cost_price,selling_price,launch_date,active_status
33,41,77,164,Product_33,Description for product 33,35589.59,51210.32,2020-05-13,True
34,43,44,118,Product_34,Description for product 34,25067.67,41755.95,2026-05-11,True
35,42,24,108,Product_35,Description for product 35,20651.73,30219.11,2020-12-20,True
36,9,55,111,Product_36,Description for product 36,46335.51,60281.52,2026-08-12,True
37,31,35,52,Product_37,Description for product 37,1698.27,1975.43,2022-02-08,True
38,9,74,170,Product_38,Description for product 38,34129.03,40524.69,2021-11-26,True
39,18,27,116,Product_39,Description for product 39,11269.29,13330.17,2021-03-16,True
40,47,94,142,Product_40,Description for product 40,45482.23,66184.44,2025-09-16,True
41,12,14,90,Product_41,Description for product 41,15016.91,17537.45,2024-03-19,True
42,42,52,55,Product_42,Description for product 42,43431.96,69374.46,2021-12-04,True
43,50,63,172,Product_43,Description for product 43,18484.62,26680.46,2021-03-08,True
44,45,21,66,Product_44,Description for product 44,7658.38,12645.77,2022-03-25,True
45,16,79,119,Product_45,Description for product 45,44050.59,74834.65,2022-03-19,True
46,29,36,55,Product_46,Description for product 46,25024.77,41950.72,2023-10-26,True
47,48,100,102,Product_47,Description for product 47,13808.82,18128.42,2021-04-26,True
48,15,34,115,Product_48,Description for product 48,39666.2,64810.09,2024-03-10,True
49,33,29,14,Product_49,Description for product 49,441.34,738.05,2021-06-17,True
50,35,44,154,Product_50,Description for product 50,9686.82,13405.65,2022-12-15,True
51,49,57,140,Product_51,Description for product 51,37225.19,59453.42,2025-04-14,True
52,35,29,110,Product_52,Description for product 52,45834.14,54091.98,2025-04-21,True
53,33,29,152,Product_53,Description for product 53,12699.55,18689.46,2022-08-20,True
54,4,75,129,Product_54,Description for product 54,40974.84,70672.79,2021-07-27,True
55,7,27,31,Product_55,Description for product 55,17150.86,29227.38,2021-10-25,True
56,20,79,104,Product_56,Description for product 56,28251.07,38687.63,2025-02-22,True
57,2,19,85,Product_57,Description for product 57,38627.74,63335.71,2025-09-08,True
58,49,3,148,Product_58,Description for product 58,2713.9,4725.17,2021-08-18,True
59,24,84,4,Product_59,Description for product 59,47953.14,61731.52,2025-06-24,True
60,45,18,65,Product_60,Description for product 60,9923.89,12609.34,2022-04-04,True
61,27,53,50,Product_61,Description for product 61,5191.52,6392.29,2025-02-13,True
62,38,84,64,Product_62,Description for product 62,21677.05,25144.15,2021-10-02,True
63,40,39,128,Product_63,Description for product 63,9502.13,10821.29,2026-03-13,True
64,15,4,185,Product_64,Description for product 64,5696.1,6565.87,2020-10-23,True
65,34,67,12,Product_65,Description for product 65,13423.82,20149.16,2024-02-05,True
66,34,4,121,Product_66,Description for product 66,3166.09,4550.05,2021-08-13,True
67,35,30,21,Product_67,Description for product 67,6343.94,8124.47,2021-08-03,True
68,46,91,61,Product_68,Description for product 68,23040.65,38912.49,2022-03-15,True
69,26,6,116,Product_69,Description for product 69,6794.71,11409.51,2022-12-21,True
70,16,88,52,Product_70,Description for product 70,31766.97,47870.12,2023-06-18,True
71,19,54,103,Product_71,Description for product 71,352.27,515.8,2021-07-27,True
72,35,46,161,Product_72,Description for product 72,31100.42,50451.35,2020-01-13,True
73,19,15,145,Product_73,Description for product 73,32554.69,56011.99,2022-02-06,True
74,14,8,85,Product_74,Description for product 74,20084.47,25674.38,2023-06-14,True
75,33,94,20,Product_75,Description for product 75,21915.83,27299.39,2024-11-22,True
76,2,13,83,Product_76,Description for product 76,11045.08,17741.22,2021-12-17,True
77,34,9,58,Product_77,Description for product 77,12649.17,20953.45,2025-11-15,True
78,47,22,24,Product_78,Description for product 78,33702.48,51512.57,2025-11-25,True
79,29,80,144,Product_79,Description for product 79,43863.12,68939.39,2022-03-12,True
80,20,20,187,Product_80,Description for product 80,22644.79,29935.74,2026-12-20,True
81,37,51,3,Product_81,Description for product 81,24479.28,34419.98,2022-02-10,True
82,34,28,10,Product_82,Description for product 82,22983.09,30616.54,2026-11-25,True
83,2,82,53,Product_83,Description for product 83,28076.68,35389.2,2026-05-04,True
84,9,55,76,Product_84,Description for product 84,47483.55,63559.86,2021-08-14,True
85,35,49,171,Product_85,Description for product 85,15651.96,20434.01,2025-10-10,True
86,22,59,25,Product_86,Description for product 86,21977.71,29826.58,2026-12-23,True
87,38,13,180,Product_87,Description for product 87,49760.82,78020.66,2025-03-03,True
88,36,57,189,Product_88,Description for product 88,46562.21,77232.68,2025-02-26,True
89,39,32,34,Product_89,Description for product 89,13612.75,19380.91,2024-01-08,True
90,9,16,70,Product_90,Description for product 90,2162.13,3130.47,2023-08-16,True
91,4,65,106,Product_91,Description for product 91,47423.23,73698.65,2022-06-16,True
92,36,11,32,Product_92,Description for product 92,39679.18,45663.9,2024-05-28,True
93,11,1,130,Product_93,Description for product 93,4535.14,6496.86,2023-02-16,True
94,11,29,51,Product_94,Description for product 94,1768.97,2384.58,2022-08-16,True
95,27,41,24,Product_95,Description for product 95,25473.21,39388.81,2020-04-13,True
96,41,56,10,Product_96,Description for product 96,41727.56,68915.87,2022-08-21,True
97,50,87,88,Product_97,Description for product 97,26019.03,40884.79,2025-10-07,True
98,41,89,69,Product_98,Description for product 98,16210.3,18956.99,2025-07-06,True
99,24,65,39,Product_99,Description for product 99,32519.7,51450.43,2024-12-22,True
100,31,53,131,Product_100,Description for product 100,49485.01,74693.19,2026-06-18,True
101,39,94,102,Product_101,Description for product 101,43730.91,69941.89,2026-03-27,True
102,43,5,172,Product_102,Description for product 102,48909.66,54568.98,2026-06-20,True
103,5,34,41,Product_103,Description for product 103,35014.76,47383.18,2026-01-07,True
104,48,79,132,Product_104,Description for product 104,16054.41,20431.22,2022-10-20,True
105,18,63,15,Product_105,Description for product 105,34760.07,41003.6,2021-12-02,True
106,7,3,103,Product_106,Description for product 106,16745.16,20799.38,2023-01-27,True
107,15,29,124,Product_107,Description for product 107,11770.67,13257.73,2026-09-13,True
108,35,10,140,Product_108,Description for product 108,19638.55,26461.08,2023-09-15,True
109,2,73,165,Product_109,Description for product 109,9405.09,13610.03,2025-12-11,True
110,33,58,136,Product_110,Description for product 110,31834.53,37960.75,2025-01-27,True
111,6,95,197,Product_111,Description for product 111,8253.62,10236.21,2024-10-08,True
112,24,18,66,Product_112,Description for product 112,17827.52,23253.74,2022-10-12,True
113,41,30,75,Product_113,Description for product 113,31659.59,55459.78,2020-09-12,True
114,39,92,120,Product_114,Description for product 114,45592.52,55205.32,2021-11-02,True
115,39,78,123,Product_115,Description for product 115,7966.66,13974.08,2024-01-10,True
116,46,42,60,Product_116,Description for product 116,8488.07,12017.98,2026-12-02,True
117,34,3,16,Product_117,Description for product 117,1756.77,3161.84,2024-08-01,True
118,3,54,65,Product_118,Description for product 118,38071.67,65112.02,2024-10-12,True
119,21,36,71,Product_119,Description for product 119,46669.56,56340.46,2025-08-25,True
120,11,13,51,Product_120,Description for product 120,767.46,1034.87,2021-11-27,True
121,11,1,97,Product_121,Description for product 121,14199.73,22165.52,2022-12-13,True
122,30,94,134,Product_122,Description for product 122,45120.75,58009.8,2026-11-13,True
123,21,40,127,Product_123,Description for product 123,5363.51,6248.39,2026-02-03,True
124,1,71,89,Product_124,Description for product 124,39127.58,59389.52,2026-08-01,True
125,25,80,89,Product_125,Description for product 125,25084.46,33880.36,2024-06-14,True
126,49,16,22,Product_126,Description for product 126,38988.84,49506.31,2026-09-19,True
127,15,7,72,Product_127,Description for product 127,22773.82,25710.64,2023-08-17,True
128,1,29,88,Product_128,Description for product 128,32491.61,43221.78,2020-10-25,True
129,25,1,26,Product_129,Description for product 129,19639.69,28041.09,2024-02-12,True
130,37,60,163,Product_130,Description for product 130,25548.98,45348.73,2022-07-21,True
131,16,13,85,Product_131,Description for product 131,8203.19,12682.8,2021-03-05,True
132,1,14,144,Product_132,Description for product 132,6379.06,10815.56,2024-08-22,True
133,30,98,166,Product_133,Description for product 133,41650.04,56881.71,2022-02-17,True
134,19,47,70,Product_134,Description for product 134,26369.36,35295.84,2026-11-09,True
135,16,55,99,Product_135,Description for product 135,30558.03,37884.12,2025-08-06,True
136,28,64,140,Product_136,Description for product 136,17527.73,23193.18,2025-12-14,True
137,11,85,154,Product_137,Description for product 137,27948.92,46392.32,2021-02-27,True
138,26,53,106,Product_138,Description for product 138,49316.18,79973.75,2025-10-23,True
139,31,39,20,Product_139,Description for product 139,15173.16,17186.55,2024-11-12,True
140,16,63,1,Product_140,Description for product 140,31228.41,41310.13,2025-06-17,True
141,50,21,21,Product_141,Description for product 141,49693.12,71047.31,2026-06-28,True
142,4,63,19,Product_142,Description for product 142,45932.93,76281.25,2023-08-03,True
143,26,81,97,Product_143,Description for product 143,39135.42,61198.87,2021-10-10,True
144,6,10,125,Product_144,Description for product 144,44099.13,53064.56,2020-08-26,True
145,40,70,63,Product_145,Description for product 145,45350.7,72690.15,2025-10-06,True
146,8,90,49,Product_146,Description for product 146,18245.27,25161.09,2025-06-04,True
147,12,14,98,Product_147,Description for product 147,19376.21,22622.96,2021-07-13,True
148,38,9,184,Product_148,Description for product 148,19232.2,33280.94,2022-10-06,True
149,36,90,83,Product_149,Description for product 149,5616.77,9777.43,2024-10-12,True
150,11,54,143,Product_150,Description for product 150,13478.73,17183.89,2022-01-08,True
151,10,98,183,Product_151,Description for product 151,10296.44,16527.05,2026-11-28,True
152,5,86,173,Product_152,Description for product 152,4507.04,6827.02,2023-02-26,True
153,22,85,174,Product_153,Description for product 153,32763.1,53724.07,2020-09-16,True
154,42,18,22,Product_154,Description for product 154,40026.07,56284.22,2022-08-09,True
155,26,86,32,Product_155,Description for product 155,41429.13,68836.28,2020-12-27,True
156,26,58,12,Product_156,Description for product 156,18770.68,26903.55,2026-09-16,True
157,36,73,84,Product_157,Description for product 157,9628.58,11401.35,2022-12-23,True
158,4,64,192,Product_158,Description for product 158,39200.05,70209.49,2024-08-23,True
159,25,36,8,Product_159,Description for product 159,35977.41,49299.36,2021-11-09,True
160,6,58,123,Product_160,Description for product 160,37883.24,42942.89,2024-03-05,True
161,45,11,28,Product_161,Description for product 161,22097.23,30745.66,2022-06-17,True
162,50,91,29,Product_162,Description for product 162,35469.96,52527.95,2022-11-15,True
163,15,79,14,Product_163,Description for product 163,13990.92,17640.85,2021-05-08,True
164,33,50,47,Product_164,Description for product 164,3363.75,3823.33,2025-12-03,True
165,37,25,38,Product_165,Description for product 165,49327.11,75281.3,2023-02-24,True
166,37,62,187,Product_166,Description for product 166,41683.11,66527.07,2020-03-17,True
167,50,96,191,Product_167,Description for product 167,4586.44,5212.87,2022-09-07,True
168,11,29,174,Product_168,Description for product 168,26257.8,46283.72,2023-04-18,True
169,12,66,66,Product_169,Description for product 169,2164.71,3802.34,2022-02-28,True
170,7,91,90,Product_170,Description for product 170,9047.68,12615.33,2023-08-03,True
171,35,85,32,Product_171,Description for product 171,38754.17,51926.73,2020-05-21,True
172,29,59,45,Product_172,Description for product 172,12471.4,19580.41,2021-10-15,True
173,44,13,150,Product_173,Description for product 173,35110.68,57835.72,2026-08-02,True
174,5,17,175,Product_174,Description for product 174,35389.94,46654.78,2021-10-01,True
175,47,61,48,Product_175,Description for product 175,26002.51,31855.88,2023-01-27,True
176,50,61,65,Product_176,Description for product 176,796.87,1238.96,2023-02-07,True
177,5,34,178,Product_177,Description for product 177,3248.08,4162.88,2025-09-15,True
178,13,34,192,Product_178,Description for product 178,6803.1,12214.43,2023-09-20,True
179,47,94,152,Product_179,Description for product 179,32036.75,49588.31,2021-06-13,True
180,36,23,40,Product_180,Description for product 180,27455.24,38147.06,2021-05-12,True
181,40,49,89,Product_181,Description for product 181,29738.57,37972.22,2020-05-14,True
182,28,40,26,Product_182,Description for product 182,8614.13,14345.76,2025-10-02,True
183,35,75,43,Product_183,Description for product 183,13395.32,23150.56,2025-07-26,True
184,6,95,62,Product_184,Description for product 184,38111.07,54073.85,2023-03-09,True
185,24,42,68,Product_185,Description for product 185,26095.5,37793.82,2023-05-17,True
186,9,81,76,Product_186,Description for product 186,23611.58,26893.19,2023-12-17,True
187,32,42,50,Product_187,Description for product 187,5701.21,7785.57,2021-09-25,True
188,29,50,129,Product_188,Description for product 188,1719.98,2060.75,2026-12-12,True
189,20,66,170,Product_189,Description for product 189,40178.09,62932.91,2022-08-26,True
190,14,59,33,Product_190,Description for product 190,43795.18,68106.46,2020-01-16,True
191,36,80,164,Product_191,Description for product 191,14384.67,18112.23,2022-10-27,True
192,38,60,116,Product_192,Description for product 192,9561.18,16084.51,2026-06-24,True
193,10,95,62,Product_193,Description for product 193,48572.2,76354.67,2024-06-09,True
194,6,81,180,Product_194,Description for product 194,36926.16,50277.33,2024-08-18,True
195,17,29,68,Product_195,Description for product 195,43407.34,67920.51,2022-10-16,True
196,12,99,188,Product_196,Description for product 196,18174.97,25934.24,2025-09-06,True
197,50,92,149,Product_197,Description for product 197,22148.64,25954.76,2022-08-13,True
198,27,77,68,Product_198,Description for product 198,32106.17,36565.52,2026-04-13,True
199,7,33,92,Product_199,Description for product 199,13489.28,22154.96,2022-08-18,True
200,32,76,163,Product_200,Description for product 200,4938.95,7288.29,2021-05-25,True
201,41,30,119,Product_201,Description for product 201,42938.24,51205.29,2024-12-18,True
202,5,35,25,Product_202,Description for product 202,43541.11,55885.9,2020-12-01,True
203,28,18,198,Product_203,Description for product 203,23185.84,40515.06,2020-06-05,True
204,41,11,58,Product_204,Description for product 204,30416.68,46894.72,2022-12-11,True
205,42,22,15,Product_205,Description for product 205,23386.05,26713.85,2026-04-15,True
206,23,81,189,Product_206,Description for product 206,24231.04,30071.16,2025-04-26,True
207,45,80,129,Product_207,Description for product 207,3717.72,4133.91,2025-09-23,True
208,45,6,57,Product_208,Description for product 208,23733.13,30669.49,2024-05-18,True
209,49,3,4,Product_209,Description for product 209,34541.21,42969.41,2024-12-10,True
210,34,81,84,Product_210,Description for product 210,1299.41,1976.79,2022-06-13,True
211,33,100,170,Product_211,Description for product 211,48235.34,85128.32,2022-07-20,True
212,10,66,158,Product_212,Description for product 212,44435.65,67745.64,2022-08-22,True
213,9,29,72,Product_213,Description for product 213,38824.11,62638.97,2021-09-23,True
214,6,35,35,Product_214,Description for product 214,19973.5,30718.69,2021-04-02,True
215,32,28,188,Product_215,Description for product 215,2465.26,2916.87,2023-04-21,True
216,11,30,28,Product_216,Description for product 216,24173.55,35121.72,2021-09-06,True
217,2,50,57,Product_217,Description for product 217,8426.5,9737.31,2021-08-26,True
218,34,58,70,Product_218,Description for product 218,22068.75,35648.42,2024-07-20,True
219,25,49,111,Product_219,Description for product 219,31253.07,51630.77,2023-04-03,True
220,30,94,70,Product_220,Description for product 220,3409.11,5241.72,2020-12-28,True
221,11,96,7,Product_221,Description for product 221,25871.35,28529.76,2020-12-01,True
222,1,96,79,Product_222,Description for product 222,11483.78,15101.94,2021-07-02,True
223,36,41,34,Product_223,Description for product 223,45902.02,60486.67,2024-03-28,True
224,42,62,22,Product_224,Description for product 224,14754.64,22750.16,2021-03-04,True
225,43,31,48,Product_225,Description for product 225,30788.15,44687.63,2021-01-10,True
226,35,96,97,Product_226,Description for product 226,5734.78,10321.89,2022-10-20,True
227,9,45,52,Product_227,Description for product 227,37960.6,57505.47,2025-05-19,True
228,12,100,184,Product_228,Description for product 228,35307.72,42515.47,2023-01-14,True
229,24,51,111,Product_229,Description for product 229,23904.17,32934.8,2022-11-16,True
230,17,6,62,Product_230,Description for product 230,34387.73,57347.6,2023-10-19,True
231,30,96,94,Product_231,Description for product 231,17816.38,20406.59,2020-01-02,True
232,42,35,30,Product_232,Description for product 232,8403.84,13563.98,2022-01-04,True
233,22,32,10,Product_233,Description for product 233,32754.08,44569.38,2026-03-03,True
234,49,76,72,Product_234,Description for product 234,6202.77,10821.61,2025-12-14,True
235,39,19,58,Product_235,Description for product 235,11691.44,18422.83,2020-05-06,True
236,2,50,3,Product_236,Description for product 236,41799.52,56781.83,2024-07-17,True
237,15,7,96,Product_237,Description for product 237,13207.95,20280.02,2025-04-22,True
238,30,54,112,Product_238,Description for product 238,14511.18,17905.33,2025-11-03,True
239,30,96,175,Product_239,Description for product 239,15175.53,17075.03,2023-10-23,True
240,30,9,67,Product_240,Description for product 240,35344.31,52177.94,2026-01-10,True
241,42,57,103,Product_241,Description for product 241,23479.21,38605.59,2026-12-03,True
242,35,75,138,Product_242,Description for product 242,28363.38,41822.21,2023-04-08,True
243,12,15,111,Product_243,Description for product 243,28053.68,45107.38,2022-03-27,True
244,20,44,1,Product_244,Description for product 244,44425.39,62134.2,2023-04-14,True
245,31,56,85,Product_245,Description for product 245,20646.55,24834.5,2026-11-27,True
246,5,28,3,Product_246,Description for product 246,41349.14,53808.66,2023-09-09,True
247,6,23,96,Product_247,Description for product 247,30929.31,36108.13,2025-09-21,True
248,37,85,102,Product_248,Description for product 248,43814.6,65606.47,2024-11-19,True
249,15,14,36,Product_249,Description for product 249,23562.44,29433.93,2022-12-04,True
250,47,87,168,Product_250,Description for product 250,15268.12,23971.13,2022-10-05,True
251,5,33,45,Product_251,Description for product 251,727.64,1022.1,2026-12-25,True
252,29,83,88,Product_252,Description for product 252,43991.04,72968.7,2025-04-14,True
253,48,93,51,Product_253,Description for product 253,44464.18,62730.91,2022-08-03,True
254,20,15,45,Product_254,Description for product 254,3889.95,5162.19,2023-03-20,True
255,49,18,29,Product_255,Description for product 255,18255.61,31806.42,2026-03-28,True
256,44,23,127,Product_256,Description for product 256,43954.51,53591.32,2023-07-25,True
257,46,77,61,Product_257,Description for product 257,27602.32,34466.94,2026-06-06,True
258,27,69,44,Product_258,Description for product 258,27417.51,44074.24,2024-11-24,True
259,8,50,88,Product_259,Description for product 259,13289.16,23605.22,2020-08-01,True
260,16,59,69,Product_260,Description for product 260,41217.9,67245.69,2024-01-06,True
261,8,56,24,Product_261,Description for product 261,21675.96,33995.0,2026-09-28,True
262,44,2,31,Product_262,Description for product 262,24755.24,44100.36,2021-01-23,True
263,8,49,20,Product_263,Description for product 263,47769.35,60211.63,2020-07-24,True
264,33,79,200,Product_264,Description for product 264,19426.82,26617.45,2022-10-10,True
265,42,28,68,Product_265,Description for product 265,2636.61,4217.55,2022-12-21,True
266,29,81,81,Product_266,Description for product 266,45592.68,55963.65,2026-01-09,True
267,47,27,140,Product_267,Description for product 267,38792.95,43464.62,2025-10-18,True
268,16,78,35,Product_268,Description for product 268,9632.49,16318.36,2020-04-16,True
269,48,76,54,Product_269,Description for product 269,15381.36,26746.65,2022-09-09,True
270,11,71,86,Product_270,Description for product 270,11994.73,13479.47,2025-07-04,True
271,14,18,19,Product_271,Description for product 271,11979.54,18080.05,2021-06-10,True
272,18,92,146,Product_272,Description for product 272,5146.06,8749.46,2023-05-24,True
273,24,44,66,Product_273,Description for product 273,5939.76,10616.36,2026-12-14,True
274,2,13,162,Product_274,Description for product 274,16046.77,19411.07,2025-03-05,True
275,41,90,165,Product_275,Description for product 275,32266.03,51845.95,2023-08-06,True
276,3,76,105,Product_276,Description for product 276,10396.82,15675.15,2020-12-07,True
277,49,45,115,Product_277,Description for product 277,43994.36,53703.7,2021-07-04,True
278,26,51,147,Product_278,Description for product 278,23289.84,35812.67,2026-11-15,True
279,47,32,112,Product_279,Description for product 279,973.69,1636.9,2021-09-25,True
280,20,75,31,Product_280,Description for product 280,190.82,311.63,2023-12-07,True
281,47,65,141,Product_281,Description for product 281,24313.92,36097.11,2024-10-21,True
282,6,60,38,Product_282,Description for product 282,23941.35,30837.63,2026-12-24,True
283,27,24,38,Product_283,Description for product 283,27290.88,33159.15,2022-08-02,True
284,43,84,151,Product_284,Description for product 284,7562.0,12531.15,2023-11-14,True
285,29,43,108,Product_285,Description for product 285,28784.87,47112.92,2024-11-13,True
286,31,37,159,Product_286,Description for product 286,9841.35,17310.2,2022-04-05,True
287,13,56,128,Product_287,Description for product 287,34144.46,54476.97,2025-03-02,True
288,5,79,104,Product_288,Description for product 288,44149.39,78535.95,2022-11-23,True
289,32,40,37,Product_289,Description for product 289,6846.55,8699.04,2021-11-27,True
290,42,1,51,Product_290,Description for product 290,41353.64,59892.98,2023-11-27,True
291,19,99,1,Product_291,Description for product 291,29917.84,50302.97,2026-08-20,True
292,32,97,198,Product_292,Description for product 292,4878.66,6576.56,2026-10-11,True
293,2,69,166,Product_293,Description for product 293,2673.03,2995.63,2024-02-15,True
294,8,14,185,Product_294,Description for product 294,24627.33,30845.46,2021-08-16,True
295,13,32,44,Product_295,Description for product 295,7902.7,11923.91,2024-11-07,True
296,18,59,42,Product_296,Description for product 296,28758.05,42680.01,2023-11-26,True
297,17,77,7,Product_297,Description for product 297,28900.9,33065.64,2021-05-25,True
298,14,12,167,Product_298,Description for product 298,1982.63,3024.98,2021-11-23,True
299,45,47,49,Product_299,Description for product 299,30118.94,42487.57,2022-04-18,True
300,42,93,1,Product_300,Description for product 300,24732.1,38150.1,2021-12-14,True
301,20,52,178,Product_301,Description for product 301,21388.89,34654.45,2022-03-20,True
302,30,20,192,Product_302,Description for product 302,28747.28,35697.07,2022-02-21,True
303,23,44,192,Product_303,Description for product 303,10689.0,16957.34,2023-11-13,True
304,33,100,200,Product_304,Description for product 304,30530.88,54510.23,2024-09-13,True
305,40,87,82,Product_305,Description for product 305,20962.06,37365.26,2023-05-08,True
306,27,14,40,Product_306,Description for product 306,30823.03,35479.22,2023-05-07,True
307,26,91,71,Product_307,Description for product 307,43204.45,63461.01,2020-05-11,True
308,42,88,192,Product_308,Description for product 308,42318.26,69511.53,2026-02-23,True
309,10,16,100,Product_309,Description for product 309,35614.38,44107.58,2022-03-05,True
310,32,12,6,Product_310,Description for product 310,13748.83,19242.74,2021-06-24,True
311,6,83,21,Product_311,Description for product 311,18987.15,26066.63,2021-06-24,True
312,19,15,80,Product_312,Description for product 312,2252.14,2842.63,2024-10-18,True
313,18,45,183,Product_313,Description for product 313,3188.86,5012.87,2022-06-17,True
314,2,49,111,Product_314,Description for product 314,33950.39,44537.73,2025-10-02,True
315,26,32,153,Product_315,Description for product 315,47250.46,75436.52,2023-07-23,True
316,41,15,56,Product_316,Description for product 316,21661.05,24568.36,2025-09-24,True
317,32,44,42,Product_317,Description for product 317,21349.19,37802.45,2020-03-13,True
318,42,51,33,Product_318,Description for product 318,3149.59,3792.15,2024-03-17,True
319,11,88,112,Product_319,Description for product 319,1714.48,2308.58,2020-01-20,True
320,25,11,83,Product_320,Description for product 320,29097.59,47215.89,2025-01-01,True
321,4,70,98,Product_321,Description for product 321,30178.4,44224.37,2021-08-15,True
322,47,76,97,Product_322,Description for product 322,39192.08,49947.57,2020-06-03,True
323,2,5,52,Product_323,Description for product 323,17541.58,28379.26,2022-10-26,True
324,12,14,13,Product_324,Description for product 324,47442.71,56882.8,2020-10-04,True
325,39,82,93,Product_325,Description for product 325,43297.47,71851.6,2026-02-22,True
326,31,10,116,Product_326,Description for product 326,28501.41,48857.65,2023-01-24,True
327,20,32,165,Product_327,Description for product 327,1210.57,2023.39,2024-10-14,True
328,44,61,52,Product_328,Description for product 328,24127.05,30788.37,2023-02-08,True
329,10,63,115,Product_329,Description for product 329,41820.37,72938.21,2026-06-18,True
330,24,12,113,Product_330,Description for product 330,22651.82,25836.56,2023-05-24,True
331,25,69,198,Product_331,Description for product 331,7295.28,10414.41,2025-01-05,True
332,24,1,178,Product_332,Description for product 332,6076.73,8101.7,2022-08-14,True
333,21,82,72,Product_333,Description for product 333,7615.9,8824.89,2026-11-27,True
334,18,67,87,Product_334,Description for product 334,22482.54,29350.58,2021-10-18,True
335,19,40,176,Product_335,Description for product 335,9856.52,12015.92,2024-07-06,True
336,14,35,159,Product_336,Description for product 336,16709.06,29766.65,2026-07-27,True
337,20,36,106,Product_337,Description for product 337,37118.91,46810.88,2023-11-04,True
338,49,45,189,Product_338,Description for product 338,31312.06,40054.21,2023-04-16,True
339,18,27,68,Product_339,Description for product 339,15924.42,27016.53,2024-09-02,True
340,49,75,33,Product_340,Description for product 340,3598.19,4916.97,2026-04-17,True
341,17,94,161,Product_341,Description for product 341,29428.28,46616.65,2021-09-24,True
342,43,66,67,Product_342,Description for product 342,24944.19,35133.21,2026-03-25,True
343,13,98,149,Product_343,Description for product 343,3110.09,3639.66,2024-11-06,True
344,39,44,132,Product_344,Description for product 344,21174.13,25770.85,2022-02-20,True
345,21,43,7,Product_345,Description for product 345,43566.01,48398.15,2024-01-04,True
346,3,66,199,Product_346,Description for product 346,28085.43,32857.14,2024-04-15,True
347,45,61,155,Product_347,Description for product 347,43406.06,73138.53,2026-07-18,True
348,34,31,160,Product_348,Description for product 348,31309.26,56356.31,2025-08-15,True
349,12,83,112,Product_349,Description for product 349,16346.28,20335.62,2024-04-07,True
350,16,39,155,Product_350,Description for product 350,32537.51,40601.03,2024-06-21,True
351,47,74,175,Product_351,Description for product 351,27425.4,40444.36,2023-02-23,True
352,2,45,106,Product_352,Description for product 352,38214.35,60500.3,2026-09-26,True
353,47,42,168,Product_353,Description for product 353,29937.55,37064.0,2021-11-18,True
354,36,41,51,Product_354,Description for product 354,34153.12,43560.94,2022-12-04,True
355,16,85,4,Product_355,Description for product 355,14443.71,20071.52,2021-02-04,True
356,7,67,94,Product_356,Description for product 356,21803.01,24145.52,2021-01-09,True
