payment_id,order_id,payment_date,payment_method,payment_status,amount
175,175,2025-11-24,UPI,Completed,17847.71
176,176,2023-11-15,COD,Completed,34689.54
177,177,2025-10-07,Debit Card,Completed,24846.17
178,178,2025-08-09,Wallet,Completed,65926.81
179,179,2022-01-03,COD,Completed,129617.87
180,180,2024-03-14,Wallet,Completed,111818.62
181,181,2025-02-14,Debit Card,Completed,144268.26
182,182,2022-06-14,COD,Completed,118519.34
183,183,2024-08-21,COD,Completed,118775.37
184,184,2022-02-07,Credit Card,Completed,122374.49
185,185,2026-01-25,Debit Card,Completed,5558.55
186,186,2023-03-18,COD,Completed,149632.85
187,187,2023-01-20,Credit Card,Completed,53219.09
188,188,2024-08-06,COD,Completed,79674.22
189,189,2025-08-28,UPI,Completed,96811.38
190,190,2023-06-04,COD,Completed,133703.02
191,191,2022-02-04,Wallet,Completed,124684.33
192,192,2024-05-27,Debit Card,Completed,134726.91
193,193,2024-06-21,Credit Card,Completed,22723.24
194,194,2024-04-23,Wallet,Completed,117073.93
195,195,2023-09-09,UPI,Completed,37497.59
196,196,2026-05-13,Credit Card,Completed,23784.52
197,197,2023-08-04,Wallet,Completed,4256.82
198,198,2022-01-27,COD,Completed,118537.49
199,199,2022-09-05,Credit Card,Completed,78332.17
200,200,2024-07-17,Debit Card,Completed,71490.39
201,201,2025-07-19,Wallet,Completed,85692.71
202,202,2022-10-07,Wallet,Completed,117662.86
203,203,2025-05-08,UPI,Completed,91299.48
204,204,2025-05-31,UPI,Completed,114762.86
205,205,2023-02-27,UPI,Completed,55087.27
206,206,2025-05-27,COD,Completed,68641.71
207,207,2023-10-24,Debit Card,Completed,20810.3
208,208,2026-03-21,Debit Card,Completed,108103.71
209,209,2025-04-25,UPI,Completed,109115.96
210,210,2025-07-31,COD,Completed,140225.94
211,211,2024-09-19,UPI,Completed,45431.56
212,212,2023-09-14,COD,Completed,36592.63
213,213,2025-06-03,Debit Card,Completed,83250.96
214,214,2026-02-11,Credit Card,Completed,101932.54
215,215,2025-03-02,Wallet,Completed,4528.54
216,216,2022-11-22,COD,Completed,12021.46
217,217,2022-05-30,Credit Card,Completed,56799.75
218,218,2025-09-20,Debit Card,Completed,15999.08
219,219,2024-01-21,COD,Completed,106165.54
220,220,2023-11-17,UPI,Completed,136582.51
221,221,2023-07-13,UPI,Completed,35302.46
222,222,2026-05-20,UPI,Completed,8312.74
223,223,2024-05-17,COD,Completed,111917.43
224,224,2024-08-11,UPI,Completed,65453.33
225,225,2025-01-11,UPI,Completed,90612.93
226,226,2022-10-01,Wallet,Completed,118302.96
227,227,2024-03-04,COD,Completed,113925.91
228,228,2024-10-15,Debit Card,Completed,103749.03
229,229,2024-08-24,Wallet,Completed,80064.25
230,230,2023-11-15,UPI,Completed,52503.12
231,231,2023-02-18,Credit Card,Completed,73767.51
232,232,2022-11-21,UPI,Completed,54334.34
233,233,2025-01-24,Credit Card,Completed,70763.31
234,234,2025-08-28,UPI,Completed,70120.82
235,235,2025-09-07,COD,Completed,145934.57
236,236,2024-06-29,Debit Card,Completed,136764.72
237,237,2025-01-10,Credit Card,Completed,116556.24
238,238,2025-06-18,Credit Card,Completed,4900.95
239,239,2022-08-27,Wallet,Completed,88887.68
240,240,2022-03-27,Wallet,Completed,12855.52
241,241,2022-11-23,Debit Card,Completed,34132.33
242,242,2024-11-14,UPI,Completed,148802.17
243,243,2025-03-15,Credit Card,Completed,100968.56
244,244,2022-11-14,Debit Card,Completed,22072.91
245,245,2023-07-04,UPI,Completed,61614.03
246,246,2023-06-19,COD,Completed,1692.34
247,247,2024-04-14,Wallet,Completed,92944.19
248,248,2023-09-30,Debit Card,Completed,106885.03
249,249,2025-12-04,Credit Card,Completed,44778.14
250,250,2024-07-27,Debit Card,Completed,55922.84
251,251,2024-07-26,COD,Completed,92137.58
252,252,2025-02-28,Debit Card,Completed,103498.71
253,253,2022-07-29,COD,Completed,120901.89
254,254,2022-01-31,COD,Completed,106163.93
255,255,2024-03-28,Debit Card,Completed,81077.6
256,256,2025-07-02,UPI,Completed,35373.91
257,257,2023-10-22,Debit Card,Completed,130852.54
258,258,2023-03-23,UPI,Completed,88614.64
259,259,2026-01-19,Credit Card,Completed,115302.52
260,260,2023-06-21,Debit Card,Completed,101962.35
261,261,2024-01-07,Wallet,Completed,104549.4
262,262,2022-11-12,COD,Completed,64659.92
263,263,2024-07-05,Wallet,Completed,62436.27
264,264,2023-05-24,COD,Completed,8567.91
265,265,2023-11-23,COD,Completed,29795.48
266,266,2023-05-16,Wallet,Completed,61054.83
267,267,2024-03-12,COD,Completed,101899.88
268,268,2024-03-27,COD,Completed,105823.94
269,269,2023-07-14,Credit Card,Completed,96124.1
270,270,2026-01-12,Debit Card,Completed,23806.48
271,271,2022-02-14,Wallet,Completed,110101.13
272,272,2022-10-24,UPI,Completed,42589.85
273,273,2024-03-24,Debit Card,Completed,76487.79
274,274,2025-01-09,Credit Card,Completed,79733.1
275,275,2023-02-18,COD,Completed,86610.87
276,276,2025-03-09,Credit Card,Completed,140765.04
277,277,2022-07-11,Credit Card,Completed,117183.83
278,278,2023-08-13,COD,Completed,140825.66
279,279,2026-03-04,Debit Card,Completed,71415.94
280,280,2025-11-30,UPI,Completed,93168.44
281,281,2022-01-16,Wallet,Completed,15345.27
282,282,2023-10-14,COD,Completed,7069.77
283,283,2024-07-13,UPI,Completed,53474.03
284,284,2023-11-12,Debit Card,Completed,124019.93
285,285,2022-02-21,UPI,Completed,4097.06
286,286,2022-07-03,COD,Completed,23462.73
287,287,2024-10-09,Wallet,Completed,80378.96
288,288,2025-02-25,Debit Card,Completed,72031.97
289,289,2022-03-12,Debit Card,Completed,60890.19
290,290,2026-04-06,Debit Card,Completed,21773.28
291,291,2024-11-16,Credit Card,Completed,140196.15
292,292,2025-09-30,COD,Completed,56188.99
293,293,2025-02-25,Wallet,Completed,122539.95
294,294,2024-10-18,Credit Card,Completed,92884.55
295,295,2026-05-11,UPI,Completed,146443.73
296,296,2026-04-08,Debit Card,Completed,25792.29
297,297,2024-12-14,Debit Card,Completed,130266.83
298,298,2023-09-14,UPI,Completed,31168.75
299,299,2023-08-28,Credit Card,Completed,140664.48
300,300,2025-07-14,Credit Card,Completed,111241.87
301,301,2025-03-26,COD,Completed,120847.04
302,302,2022-09-26,Wallet,Completed,50724.27
303,303,2024-09-24,Credit Card,Completed,333.22
304,304,2022-03-24,Wallet,Completed,55621.34
305,305,2025-06-14,UPI,Completed,49629.13
306,306,2023-04-30,UPI,Completed,74378.46
307,307,2023-03-19,Wallet,Completed,92238.94
308,308,2022-11-28,Wallet,Completed,147408.34
309,309,2022-07-27,Debit Card,Completed,34893.39
310,310,2025-04-11,Wallet,Completed,130159.0
311,311,2025-02-11,UPI,Completed,106995.06
312,312,2025-05-19,UPI,Completed,43899.97
313,313,2022-08-10,UPI,Completed,48089.09
314,314,2023-10-21,COD,Completed,107713.78
315,315,2023-02-27,Wallet,Completed,43438.54
316,316,2024-04-06,Credit Card,Completed,123314.69
317,317,2023-12-15,Wallet,Completed,50023.93
318,318,2025-03-13,COD,Completed,128104.22
319,319,2025-06-26,Credit Card,Completed,75160.6
320,320,2024-09-12,COD,Completed,12174.7
321,321,2022-03-15,Wallet,Completed,125207.44
322,322,2023-03-12,Debit Card,Completed,35018.86
323,323,2024-12-03,Debit Card,Completed,9190.92
324,324,2026-02-06,UPI,Completed,13665.53
325,325,2023-01-14,Debit Card,Completed,62456.02
326,326,2023-03-18,UPI,Completed,122141.2
327,327,2024-09-27,COD,Completed,65309.64
328,328,2022-09-14,Credit Card,Completed,41025.64
329,329,2022-05-26,Debit Card,Completed,137001.85
330,330,2025-05-22,Credit Card,Completed,70647.7
331,331,2026-03-24,Wallet,Completed,94269.88
332,332,2023-03-14,Wallet,Completed,113956.62
333,333,2023-01-23,Wallet,Completed,59113.21
334,334,2023-09-27,COD,Completed,90598.22
335,335,2022-07-16,COD,Completed,69349.85
336,336,2022-12-02,Wallet,Completed,92825.99
337,337,2025-08-16,Debit Card,Completed,121913.88
338,338,2023-11-14,Debit Card,Completed,118725.21
339,339,2024-05-10,Wallet,Completed,145608.26
340,340,2024-08-10,COD,Completed,114877.29
341,341,2025-05-20,UPI,Completed,11747.58
342,342,2025-11-15,UPI,Completed,75791.03
343,343,2025-12-13,Wallet,Completed,1190.57
344,344,2024-01-24,Credit Card,Completed,86734.5
345,345,2023-02-25,Debit Card,Completed,76537.39
346,346,2025-03-02,Credit Card,Completed,30781.69
347,347,2022-02-10,Credit Card,Completed,22454.15
348,348,2024-02-11,Credit Card,Completed,102801.79
349,349,2025-09-18,Debit Card,Completed,71429.08
350,350,2022-11-19,COD,Completed,15280.77
351,351,2024-10-29,Credit Card,Completed,108998.8
352,352,2024-01-24,Credit Card,Completed,24964.0
353,353,2025-09-18,Wallet,Completed,141988.47
354,354,2023-02-24,Debit Card,Completed,90107.73
355,355,2023-06-15,Debit Card,Completed,20889.71
356,356,2022-05-11,Wallet,Completed,106095.5
357,357,2023-09-26,UPI,Completed,120699.89
358,358,2025-05-01,Wallet,Completed,16139.79
359,359,2023-11-04,Wallet,Completed,123962.13
360,360,2025-08-02,Wallet,Completed,137779.39
361,361,2025-02-27,COD,Completed,9511.76
362,362,2023-06-18,Credit Card,Completed,74408.64
363,363,2022-02-03,Wallet,Completed,122725.02
364,364,2026-02-17,COD,Completed,30607.4
365,365,2025-04-04,UPI,Completed,48126.89
366,366,2024-01-28,Debit Card,Completed,132943.51
367,367,2024-03-23,Credit Card,Completed,63372.97
368,368,2026-01-25,Wallet,Completed,62120.51
369,369,2025-07-23,COD,Completed,68659.08
370,370,2024-08-12,Credit Card,Completed,45021.73
371,371,2024-07-08,Debit Card,Completed,76054.14
372,372,2026-03-22,UPI,Completed,45154.64
373,373,2022-10-11,COD,Completed,27434.56
374,374,2026-03-11,COD,Completed,101416.37
375,375,2023-04-20,UPI,Completed,126709.23
376,376,2025-05-08,UPI,Completed,133246.41
377,377,2023-08-09,Debit Card,Completed,20730.06
378,378,2022-03-21,COD,Completed,29855.36
379,379,2025-11-10,Wallet,Completed,65935.1
380,380,2026-05-19,UPI,Completed,35037.48
381,381,2025-06-13,UPI,Completed,103033.67
382,382,2023-07-07,COD,Completed,123444.9
383,383,2024-10-17,Credit Card,Completed,99136.27
384,384,2026-05-10,Wallet,Completed,50338.98
385,385,2024-05-25,COD,Completed,129653.47
386,386,2024-08-30,Wallet,Completed,42788.78
387,387,2024-04-22,COD,Completed,91075.11
388,388,2026-01-03,UPI,Completed,69473.33
389,389,2023-04-09,COD,Completed,69933.85
390,390,2026-04-27,Wallet,Completed,127420.52
391,391,2024-01-14,Wallet,Completed,55861.34
392,392,2022-11-25,Wallet,Completed,124314.75
393,393,2026-01-31,Wallet,Completed,46772.86
394,394,2023-07-21,Wallet,Completed,139822.51
395,395,2022-07-20,COD,Completed,56417.24
396,396,2024-03-20,Wallet,Completed,61744.31
397,397,2024-07-27,Credit Card,Completed,33809.41
398,398,2025-09-19,Credit Card,Completed,47308.5
399,399,2023-01-12,Wallet,Completed,148279.86
400,400,2025-10-17,Debit Card,Completed,16895.64
401,401,2023-06-17,Credit Card,Completed,111388.75
402,402,2025-01-27,UPI,Completed,60491.84
403,403,2024-03-03,Credit Card,Completed,51347.44
404,404,2022-10-11,COD,Completed,102921.4
405,405,2023-10-24,UPI,Completed,49456.43
406,406,2025-06-26,COD,Completed,74933.58
407,407,2024-05-24,Credit Card,Completed,134077.52
408,408,2024-04-01,COD,Completed,46208.09
409,409,2025-08-23,Credit Card,Completed,78157.9
410,410,2022-06-03,UPI,Completed,20958.36
411,411,2024-03-10,Credit Card,Completed,99123.73
412,412,2023-08-19,UPI,Completed,71894.38
413,413,2026-05-18,Wallet,Completed,42412.44
414,414,2025-02-25,Debit Card,Completed,45619.16
415,415,2025-12-26,Debit Card,Completed,30126.66
416,416,2026-03-12,Wallet,Completed,110314.96
417,417,2024-09-12,Credit Card,Completed,147593.55
418,418,2026-02-24,Wallet,Completed,142717.99
419,419,2023-06-13,Debit Card,Completed,707.31
420,420,2023-10-24,UPI,Completed,145902.81
421,421,2026-02-12,UPI,Completed,139568.4
422,422,2025-03-13,Wallet,Completed,140919.79
423,423,2023-01-22,UPI,Completed,40682.78
424,424,2023-01-02,Credit Card,Completed,42378.71
425,425,2026-01-27,COD,Completed,126541.29
426,426,2023-05-17,Credit Card,Completed,88583.85
427,427,2025-08-10,Credit Card,Completed,92597.7
428,428,2024-02-04,Wallet,Completed,55430.72
429,429,2023-01-26,Debit Card,Completed,36291.79
430,430,2024-12-01,Credit Card,Completed,40131.78
431,431,2024-05-16,Credit Card,Completed,17265.57
432,432,2022-06-16,Credit Card,Completed,132617.55
433,433,2023-12-11,Credit Card,Completed,84016.16
434,434,2023-01-03,Wallet,Completed,14287.71
435,435,2025-01-29,Debit Card,Completed,91915.56
436,436,2022-09-11,Debit Card,Completed,18774.0
437,437,2024-10-14,Credit Card,Completed,46246.23
438,438,2022-04-30,COD,Completed,118621.5
439,439,2024-11-20,UPI,Completed,144197.73
440,440,2022-12-03,COD,Completed,87413.21
441,441,2022-01-20,UPI,Completed,5178.53
442,442,2023-07-23,UPI,Completed,59244.55
443,443,2023-12-08,COD,Completed,102919.49
444,444,2025-06-10,Credit Card,Completed,116506.17
445,445,2025-12-29,Credit Card,Completed,89996.51
446,446,2022-09-28,Credit Card,Completed,76390.89
447,447,2026-01-16,Wallet,Completed,123976.79
448,448,2023-01-13,COD,Completed,89033.89
449,449,2025-08-16,Credit Card,Completed,120198.52
450,450,2023-07-30,UPI,Completed,31079.26
451,451,2022-08-13,UPI,Completed,130198.79
452,452,2024-07-10,COD,Completed,3593.36
453,453,2025-08-26,Wallet,Completed,47356.02
454,454,2023-09-16,Debit Card,Completed,30395.49
455,455,2023-05-09,COD,Completed,50491.75
456,456,2022-08-19,Debit Card,Completed,60502.22
457,457,2022-11-17,UPI,Completed,8839.77
458,458,2023-11-23,COD,Completed,2578.71
459,459,2022-12-13,Wallet,Completed,81104.95
460,460,2023-04-03,COD,Completed,12580.84
461,461,2024-05-29,Wallet,Completed,34560.61
462,462,2024-03-06,COD,Completed,87167.49
463,463,2023-07-30,COD,Completed,55735.71
464,464,2024-06-15,Debit Card,Completed,106158.03
465,465,2024-03-12,Wallet,Completed,63021.27
466,466,2023-12-23,Debit Card,Completed,146039.37
467,467,2023-08-30,COD,Completed,39260.4
468,468,2024-01-31,UPI,Completed,6109.8
469,469,2025-06-12,Debit Card,Completed,34905.9
470,470,2022-05-09,COD,Completed,26385.47
471,471,2024-12-24,COD,Completed,110250.34
472,472,2026-02-06,Wallet,Completed,32782.06
473,473,2026-02-03,Wallet,Completed,90828.25
474,474,2023-07-01,COD,Completed,45969.9
475,475,2023-09-07,UPI,Completed,115291.73
476,476,2024-09-03,Credit Card,Completed,111507.46
477,477,2025-03-04,Credit Card,Completed,42457.34
478,478,2024-08-20,Credit Card,Completed,94035.91
479,479,2026-03-05,COD,Completed,38840.4
480,480,2025-11-19,UPI,Completed,141459.8
481,481,2022-09-29,UPI,Completed,78512.27
482,482,2025-05-19,UPI,Completed,129234.99
483,483,2025-07-15,Wallet,Completed,23471.29
484,484,2022-06-18,COD,Completed,43937.65
485,485,2025-09-17,COD,Completed,28265.25
486,486,2026-04-29,Debit Card,Completed,125009.24
487,487,2025-07-25,COD,Completed,37747.68
488,488,2022-01-16,Credit Card,Completed,148108.35
489,489,2022-08-31,COD,Completed,31515.35
490,490,2022-05-26,COD,Completed,93938.28
491,491,2025-06-17,Credit Card,Completed,15061.86
492,492,2023-10-14,Credit Card,Completed,17918.96
493,493,2024-03-16,COD,Completed,42343.67
494,494,2023-08-30,COD,Completed,75914.61
495,495,2024-01-04,Debit Card,Completed,59442.2
496,496,2024-03-30,Credit Card,Completed,137366.78
497,497,2024-09-13,COD,Completed,59600.21
498,498,2025-08-06,Credit Card,Completed,132153.47
499,499,2026-04-25,Debit Card,Completed,73682.05
500,500,2025-01-16,Credit Card,Completed,53873.42
501,501,2022-01-08,Debit Card,Completed,18383.58
502,502,2023-07-20,Debit Card,Completed,122844.22
503,503,2022-07-18,Debit Card,Completed,130991.39
504,504,2023-06-29,Wallet,Completed,93610.57
505,505,2022-07-29,UPI,Completed,78349.76
506,506,2026-01-01,Credit Card,Completed,27213.78
507,507,2024-02-05,UPI,Completed,34319.27
508,508,2024-09-17,COD,Completed,114853.91
509,509,2024-03-15,UPI,Completed,136689.43
510,510,2024-06-08,COD,Completed,72248.32
511,511,2025-06-21,Credit Card,Completed,70290.47
512,512,2024-10-04,Wallet,Completed,11961.41
513,513,2024-08-13,Debit Card,Completed,26440.05
514,514,2023-01-27,Wallet,Completed,102988.93
515,515,2024-08-17,Debit Card,Completed,33652.46
516,516,2022-05-20,COD,Completed,127530.79
517,517,2022-10-14,Wallet,Completed,132438.14
518,518,2025-08-20,UPI,Completed,61263.7
519,519,2024-05-13,Debit Card,Completed,55989.13
520,520,2025-11-12,Wallet,Completed,48156.57
521,521,2023-12-13,COD,Completed,38343.66
522,522,2022-07-15,Credit Card,Completed,56268.57
523,523,2024-03-10,COD,Completed,134630.66
524,524,2023-06-02,Wallet,Completed,79854.3
525,525,2025-01-11,UPI,Completed,107463.94
526,526,2025-12-30,Wallet,Completed,46151.39
527,527,2023-07-08,Debit Card,Completed,15335.68
528,528,2025-07-21,Debit Card,Completed,102223.36
529,529,2022-11-09,Debit Card,Completed,8497.06
530,530,2022-10-02,COD,Completed,113877.78
531,531,2024-05-15,UPI,Completed,120292.93
532,532,2022-03-07,COD,Completed,28319.24
533,533,2025-05-24,UPI,Completed,90603.35
534,534,2022-03-29,Credit Card,Completed,58496.9
535,535,2022-10-10,Debit Card,Completed,105084.9
536,536,2024-08-24,Debit Card,Completed,3659.95
537,537,2025-08-11,Wallet,Completed,130182.73
538,538,2023-07-26,COD,Completed,78588.01
539,539,2023-11-11,COD,Completed,83296.93
540,540,2025-11-26,COD,Completed,15073.6
541,541,2025-07-07,Credit Card,Completed,14268.23
542,542,2022-12-01,Credit Card,Completed,104105.96
543,543,2023-09-10,COD,Completed,97857.78
544,544,2024-11-15,Wallet,Completed,8119.83
545,545,2024-10-16,Debit Card,Completed,140080.23
546,546,2024-06-11,Credit Card,Completed,101414.55
547,547,2026-04-02,Debit Card,Completed,77579.53
548,548,2025-01-22,Debit Card,Completed,106884.87
549,549,2025-05-25,UPI,Completed,103671.19
550,550,2025-09-06,Debit Card,Completed,22789.23
551,551,2024-09-14,Wallet,Completed,123599.4
552,552,2023-05-29,Wallet,Completed,113340.39
553,553,2026-02-27,Debit Card,Completed,71980.37
554,554,2024-12-17,Wallet,Completed,85384.71
555,555,2025-08-27,Wallet,Completed,115128.1
556,556,2022-06-08,UPI,Completed,17200.3
557,557,2026-01-15,COD,Completed,38493.31
558,558,2026-03-21,Debit Card,Completed,6478.3
559,559,2025-11-09,Wallet,Completed,69191.06
560,560,2026-01-04,Debit Card,Completed,46915.3
561,561,2025-01-29,UPI,Completed,83298.8
562,562,2024-02-17,Wallet,Completed,99975.89
563,563,2023-05-05,Wallet,Completed,101724.39
